member_name,political_group,policy_topic,vote,date
EPP (group),EPP,Implementation into Union law of measures adopted by several Regional Fisheries Management Organisat,FOR,2026-09-15
S&D (group),S&D,Implementation into Union law of measures adopted by several Regional Fisheries Management Organisat,FOR,2026-09-15
ECR (group),ECR,Implementation into Union law of measures adopted by several Regional Fisheries Management Organisat,FOR,2026-09-15
Patriots for Europe (group),Patriots for Europe,Implementation into Union law of measures adopted by several Regional Fisheries Management Organisat,AGAINST,2026-09-15
Renew (group),Renew,Implementation into Union law of measures adopted by several Regional Fisheries Management Organisat,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Implementation into Union law of measures adopted by several Regional Fisheries Management Organisat,FOR,2026-09-15
The Left (group),The Left,Implementation into Union law of measures adopted by several Regional Fisheries Management Organisat,FOR,2026-09-15
NI (group),NI,Implementation into Union law of measures adopted by several Regional Fisheries Management Organisat,FOR,2026-09-15
ESN (group),ESN,Implementation into Union law of measures adopted by several Regional Fisheries Management Organisat,ABSTAIN,2026-09-15
EPP (group),EPP,Amending Regulation (EU) No 2023/2124 on certain provisions for fishing in the GFCM (General Fisheri,FOR,2026-09-15
S&D (group),S&D,Amending Regulation (EU) No 2023/2124 on certain provisions for fishing in the GFCM (General Fisheri,FOR,2026-09-15
ECR (group),ECR,Amending Regulation (EU) No 2023/2124 on certain provisions for fishing in the GFCM (General Fisheri,FOR,2026-09-15
Patriots for Europe (group),Patriots for Europe,Amending Regulation (EU) No 2023/2124 on certain provisions for fishing in the GFCM (General Fisheri,AGAINST,2026-09-15
Renew (group),Renew,Amending Regulation (EU) No 2023/2124 on certain provisions for fishing in the GFCM (General Fisheri,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Amending Regulation (EU) No 2023/2124 on certain provisions for fishing in the GFCM (General Fisheri,FOR,2026-09-15
The Left (group),The Left,Amending Regulation (EU) No 2023/2124 on certain provisions for fishing in the GFCM (General Fisheri,FOR,2026-09-15
NI (group),NI,Amending Regulation (EU) No 2023/2124 on certain provisions for fishing in the GFCM (General Fisheri,FOR,2026-09-15
ESN (group),ESN,Amending Regulation (EU) No 2023/2124 on certain provisions for fishing in the GFCM (General Fisheri,FOR,2026-09-15
EPP (group),EPP,Implementation of the Council Recommendation of 30 October 2020 on A Bridge to Jobs – Reinforcing th,FOR,2026-09-15
S&D (group),S&D,Implementation of the Council Recommendation of 30 October 2020 on A Bridge to Jobs – Reinforcing th,FOR,2026-09-15
ECR (group),ECR,Implementation of the Council Recommendation of 30 October 2020 on A Bridge to Jobs – Reinforcing th,FOR,2026-09-15
Patriots for Europe (group),Patriots for Europe,Implementation of the Council Recommendation of 30 October 2020 on A Bridge to Jobs – Reinforcing th,FOR,2026-09-15
Renew (group),Renew,Implementation of the Council Recommendation of 30 October 2020 on A Bridge to Jobs – Reinforcing th,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Implementation of the Council Recommendation of 30 October 2020 on A Bridge to Jobs – Reinforcing th,FOR,2026-09-15
The Left (group),The Left,Implementation of the Council Recommendation of 30 October 2020 on A Bridge to Jobs – Reinforcing th,FOR,2026-09-15
NI (group),NI,Implementation of the Council Recommendation of 30 October 2020 on A Bridge to Jobs – Reinforcing th,FOR,2026-09-15
ESN (group),ESN,Implementation of the Council Recommendation of 30 October 2020 on A Bridge to Jobs – Reinforcing th,AGAINST,2026-09-15
EPP (group),EPP,Global role of the euro,FOR,2026-09-15
S&D (group),S&D,Global role of the euro,FOR,2026-09-15
ECR (group),ECR,Global role of the euro,ABSTAIN,2026-09-15
Patriots for Europe (group),Patriots for Europe,Global role of the euro,AGAINST,2026-09-15
Renew (group),Renew,Global role of the euro,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Global role of the euro,FOR,2026-09-15
The Left (group),The Left,Global role of the euro,FOR,2026-09-15
NI (group),NI,Global role of the euro,AGAINST,2026-09-15
ESN (group),ESN,Global role of the euro,AGAINST,2026-09-15
EPP (group),EPP,Draft amending budget no 2 to the general budget 2026 - update of revenue (own resources) and adjust,FOR,2026-09-15
S&D (group),S&D,Draft amending budget no 2 to the general budget 2026 - update of revenue (own resources) and adjust,FOR,2026-09-15
ECR (group),ECR,Draft amending budget no 2 to the general budget 2026 - update of revenue (own resources) and adjust,ABSTAIN,2026-09-15
Patriots for Europe (group),Patriots for Europe,Draft amending budget no 2 to the general budget 2026 - update of revenue (own resources) and adjust,AGAINST,2026-09-15
Renew (group),Renew,Draft amending budget no 2 to the general budget 2026 - update of revenue (own resources) and adjust,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Draft amending budget no 2 to the general budget 2026 - update of revenue (own resources) and adjust,FOR,2026-09-15
The Left (group),The Left,Draft amending budget no 2 to the general budget 2026 - update of revenue (own resources) and adjust,FOR,2026-09-15
NI (group),NI,Draft amending budget no 2 to the general budget 2026 - update of revenue (own resources) and adjust,AGAINST,2026-09-15
ESN (group),ESN,Draft amending budget no 2 to the general budget 2026 - update of revenue (own resources) and adjust,AGAINST,2026-09-15
EPP (group),EPP,The EU Youth Strategy 2019-2027,FOR,2026-09-15
S&D (group),S&D,The EU Youth Strategy 2019-2027,FOR,2026-09-15
ECR (group),ECR,The EU Youth Strategy 2019-2027,ABSTAIN,2026-09-15
Patriots for Europe (group),Patriots for Europe,The EU Youth Strategy 2019-2027,AGAINST,2026-09-15
Renew (group),Renew,The EU Youth Strategy 2019-2027,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,The EU Youth Strategy 2019-2027,FOR,2026-09-15
The Left (group),The Left,The EU Youth Strategy 2019-2027,FOR,2026-09-15
NI (group),NI,The EU Youth Strategy 2019-2027,FOR,2026-09-15
ESN (group),ESN,The EU Youth Strategy 2019-2027,AGAINST,2026-09-15
EPP (group),EPP,Temporary trade-liberalisation measures applicable to Armenian products,FOR,2026-09-15
S&D (group),S&D,Temporary trade-liberalisation measures applicable to Armenian products,FOR,2026-09-15
ECR (group),ECR,Temporary trade-liberalisation measures applicable to Armenian products,FOR,2026-09-15
Patriots for Europe (group),Patriots for Europe,Temporary trade-liberalisation measures applicable to Armenian products,AGAINST,2026-09-15
Renew (group),Renew,Temporary trade-liberalisation measures applicable to Armenian products,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Temporary trade-liberalisation measures applicable to Armenian products,FOR,2026-09-15
The Left (group),The Left,Temporary trade-liberalisation measures applicable to Armenian products,FOR,2026-09-15
NI (group),NI,Temporary trade-liberalisation measures applicable to Armenian products,FOR,2026-09-15
ESN (group),ESN,Temporary trade-liberalisation measures applicable to Armenian products,FOR,2026-09-15
EPP (group),EPP,Findings and recommendations of the Special Committee on the European Democracy Shield,FOR,2026-09-15
S&D (group),S&D,Findings and recommendations of the Special Committee on the European Democracy Shield,FOR,2026-09-15
ECR (group),ECR,Findings and recommendations of the Special Committee on the European Democracy Shield,AGAINST,2026-09-15
