member_name,political_group,policy_topic,vote,date
Patriots for Europe (group),Patriots for Europe,Findings and recommendations of the Special Committee on the European Democracy Shield,AGAINST,2026-09-15
Renew (group),Renew,Findings and recommendations of the Special Committee on the European Democracy Shield,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Findings and recommendations of the Special Committee on the European Democracy Shield,FOR,2026-09-15
The Left (group),The Left,Findings and recommendations of the Special Committee on the European Democracy Shield,AGAINST,2026-09-15
NI (group),NI,Findings and recommendations of the Special Committee on the European Democracy Shield,AGAINST,2026-09-15
ESN (group),ESN,Findings and recommendations of the Special Committee on the European Democracy Shield,AGAINST,2026-09-15
EPP (group),EPP,Amending Regulation (EU) 2023/956 as regards the extension of its scope to downstream goods and anti,FOR,2026-09-15
S&D (group),S&D,Amending Regulation (EU) 2023/956 as regards the extension of its scope to downstream goods and anti,FOR,2026-09-15
ECR (group),ECR,Amending Regulation (EU) 2023/956 as regards the extension of its scope to downstream goods and anti,ABSTAIN,2026-09-15
Patriots for Europe (group),Patriots for Europe,Amending Regulation (EU) 2023/956 as regards the extension of its scope to downstream goods and anti,ABSTAIN,2026-09-15
Renew (group),Renew,Amending Regulation (EU) 2023/956 as regards the extension of its scope to downstream goods and anti,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Amending Regulation (EU) 2023/956 as regards the extension of its scope to downstream goods and anti,FOR,2026-09-15
The Left (group),The Left,Amending Regulation (EU) 2023/956 as regards the extension of its scope to downstream goods and anti,FOR,2026-09-15
NI (group),NI,Amending Regulation (EU) 2023/956 as regards the extension of its scope to downstream goods and anti,ABSTAIN,2026-09-15
ESN (group),ESN,Amending Regulation (EU) 2023/956 as regards the extension of its scope to downstream goods and anti,ABSTAIN,2026-09-15
EPP (group),EPP,Establishing the Temporary Decarbonisation Fund,FOR,2026-09-15
S&D (group),S&D,Establishing the Temporary Decarbonisation Fund,FOR,2026-09-15
ECR (group),ECR,Establishing the Temporary Decarbonisation Fund,ABSTAIN,2026-09-15
Patriots for Europe (group),Patriots for Europe,Establishing the Temporary Decarbonisation Fund,AGAINST,2026-09-15
Renew (group),Renew,Establishing the Temporary Decarbonisation Fund,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Establishing the Temporary Decarbonisation Fund,FOR,2026-09-15
The Left (group),The Left,Establishing the Temporary Decarbonisation Fund,FOR,2026-09-15
NI (group),NI,Establishing the Temporary Decarbonisation Fund,AGAINST,2026-09-15
ESN (group),ESN,Establishing the Temporary Decarbonisation Fund,AGAINST,2026-09-15
EPP (group),EPP,"Amending Decision (EU) 2015/1814 as regards the market stability reserve for the buildings, road tra",FOR,2026-09-15
S&D (group),S&D,"Amending Decision (EU) 2015/1814 as regards the market stability reserve for the buildings, road tra",FOR,2026-09-15
ECR (group),ECR,"Amending Decision (EU) 2015/1814 as regards the market stability reserve for the buildings, road tra",FOR,2026-09-15
Patriots for Europe (group),Patriots for Europe,"Amending Decision (EU) 2015/1814 as regards the market stability reserve for the buildings, road tra",AGAINST,2026-09-15
Renew (group),Renew,"Amending Decision (EU) 2015/1814 as regards the market stability reserve for the buildings, road tra",FOR,2026-09-15
Greens/EFA (group),Greens/EFA,"Amending Decision (EU) 2015/1814 as regards the market stability reserve for the buildings, road tra",AGAINST,2026-09-15
The Left (group),The Left,"Amending Decision (EU) 2015/1814 as regards the market stability reserve for the buildings, road tra",AGAINST,2026-09-15
NI (group),NI,"Amending Decision (EU) 2015/1814 as regards the market stability reserve for the buildings, road tra",AGAINST,2026-09-15
ESN (group),ESN,"Amending Decision (EU) 2015/1814 as regards the market stability reserve for the buildings, road tra",AGAINST,2026-09-15
EPP (group),EPP,Amending Decision (EU) 2015/1814 as regards ceasing the invalidation of allowances in the market sta,FOR,2026-09-15
S&D (group),S&D,Amending Decision (EU) 2015/1814 as regards ceasing the invalidation of allowances in the market sta,FOR,2026-09-15
ECR (group),ECR,Amending Decision (EU) 2015/1814 as regards ceasing the invalidation of allowances in the market sta,AGAINST,2026-09-15
Patriots for Europe (group),Patriots for Europe,Amending Decision (EU) 2015/1814 as regards ceasing the invalidation of allowances in the market sta,AGAINST,2026-09-15
Renew (group),Renew,Amending Decision (EU) 2015/1814 as regards ceasing the invalidation of allowances in the market sta,FOR,2026-09-15
Greens/EFA (group),Greens/EFA,Amending Decision (EU) 2015/1814 as regards ceasing the invalidation of allowances in the market sta,ABSTAIN,2026-09-15
The Left (group),The Left,Amending Decision (EU) 2015/1814 as regards ceasing the invalidation of allowances in the market sta,ABSTAIN,2026-09-15
NI (group),NI,Amending Decision (EU) 2015/1814 as regards ceasing the invalidation of allowances in the market sta,AGAINST,2026-09-15
ESN (group),ESN,Amending Decision (EU) 2015/1814 as regards ceasing the invalidation of allowances in the market sta,AGAINST,2026-09-15
