member_name,political_group,policy_topic,vote,date
Patriots for Europe (group),Patriots for Europe,Amending Regulation (EU) No 575/2013 on prudential requirements for credit institutions as regards r,AGAINST,2026-05-21
ECR (group),ECR,Amending Regulation (EU) No 575/2013 on prudential requirements for credit institutions as regards r,ABSTAIN,2026-05-21
Renew (group),Renew,Amending Regulation (EU) No 575/2013 on prudential requirements for credit institutions as regards r,FOR,2026-05-21
Greens/EFA (group),Greens/EFA,Amending Regulation (EU) No 575/2013 on prudential requirements for credit institutions as regards r,AGAINST,2026-05-21
The Left (group),The Left,Amending Regulation (EU) No 575/2013 on prudential requirements for credit institutions as regards r,AGAINST,2026-05-21
NI (group),NI,Amending Regulation (EU) No 575/2013 on prudential requirements for credit institutions as regards r,AGAINST,2026-05-21
ESN (group),ESN,Amending Regulation (EU) No 575/2013 on prudential requirements for credit institutions as regards r,AGAINST,2026-05-21
EPP (group),EPP,"Amending Regulation (EU) 2017/2402 on securitisation and a specific framework for simple, transparen",FOR,2026-05-21
S&D (group),S&D,"Amending Regulation (EU) 2017/2402 on securitisation and a specific framework for simple, transparen",FOR,2026-05-21
Patriots for Europe (group),Patriots for Europe,"Amending Regulation (EU) 2017/2402 on securitisation and a specific framework for simple, transparen",AGAINST,2026-05-21
ECR (group),ECR,"Amending Regulation (EU) 2017/2402 on securitisation and a specific framework for simple, transparen",ABSTAIN,2026-05-21
Renew (group),Renew,"Amending Regulation (EU) 2017/2402 on securitisation and a specific framework for simple, transparen",FOR,2026-05-21
Greens/EFA (group),Greens/EFA,"Amending Regulation (EU) 2017/2402 on securitisation and a specific framework for simple, transparen",AGAINST,2026-05-21
The Left (group),The Left,"Amending Regulation (EU) 2017/2402 on securitisation and a specific framework for simple, transparen",AGAINST,2026-05-21
NI (group),NI,"Amending Regulation (EU) 2017/2402 on securitisation and a specific framework for simple, transparen",AGAINST,2026-05-21
ESN (group),ESN,"Amending Regulation (EU) 2017/2402 on securitisation and a specific framework for simple, transparen",AGAINST,2026-05-21
EPP (group),EPP,Periodic roadworthiness tests and technical roadside inspection (Roadworthiness package),FOR,2026-05-21
S&D (group),S&D,Periodic roadworthiness tests and technical roadside inspection (Roadworthiness package),FOR,2026-05-21
Patriots for Europe (group),Patriots for Europe,Periodic roadworthiness tests and technical roadside inspection (Roadworthiness package),AGAINST,2026-05-21
ECR (group),ECR,Periodic roadworthiness tests and technical roadside inspection (Roadworthiness package),ABSTAIN,2026-05-21
Renew (group),Renew,Periodic roadworthiness tests and technical roadside inspection (Roadworthiness package),FOR,2026-05-21
Greens/EFA (group),Greens/EFA,Periodic roadworthiness tests and technical roadside inspection (Roadworthiness package),FOR,2026-05-21
The Left (group),The Left,Periodic roadworthiness tests and technical roadside inspection (Roadworthiness package),ABSTAIN,2026-05-21
NI (group),NI,Periodic roadworthiness tests and technical roadside inspection (Roadworthiness package),AGAINST,2026-05-21
ESN (group),ESN,Periodic roadworthiness tests and technical roadside inspection (Roadworthiness package),AGAINST,2026-05-21
EPP (group),EPP,The need to reduce work-related fatalities,FOR,2026-05-21
S&D (group),S&D,The need to reduce work-related fatalities,FOR,2026-05-21
Patriots for Europe (group),Patriots for Europe,The need to reduce work-related fatalities,FOR,2026-05-21
ECR (group),ECR,The need to reduce work-related fatalities,FOR,2026-05-21
Renew (group),Renew,The need to reduce work-related fatalities,FOR,2026-05-21
Greens/EFA (group),Greens/EFA,The need to reduce work-related fatalities,FOR,2026-05-21
The Left (group),The Left,The need to reduce work-related fatalities,FOR,2026-05-21
NI (group),NI,The need to reduce work-related fatalities,FOR,2026-05-21
ESN (group),ESN,The need to reduce work-related fatalities,ABSTAIN,2026-05-21
EPP (group),EPP,The cases of human rights and environmental defenders Andrie Yunus and Muhammad Rosidi in Indonesia,FOR,2026-05-21
S&D (group),S&D,The cases of human rights and environmental defenders Andrie Yunus and Muhammad Rosidi in Indonesia,FOR,2026-05-21
Patriots for Europe (group),Patriots for Europe,The cases of human rights and environmental defenders Andrie Yunus and Muhammad Rosidi in Indonesia,AGAINST,2026-05-21
ECR (group),ECR,The cases of human rights and environmental defenders Andrie Yunus and Muhammad Rosidi in Indonesia,FOR,2026-05-21
Renew (group),Renew,The cases of human rights and environmental defenders Andrie Yunus and Muhammad Rosidi in Indonesia,FOR,2026-05-21
Greens/EFA (group),Greens/EFA,The cases of human rights and environmental defenders Andrie Yunus and Muhammad Rosidi in Indonesia,FOR,2026-05-21
The Left (group),The Left,The cases of human rights and environmental defenders Andrie Yunus and Muhammad Rosidi in Indonesia,FOR,2026-05-21
NI (group),NI,The cases of human rights and environmental defenders Andrie Yunus and Muhammad Rosidi in Indonesia,ABSTAIN,2026-05-21
ESN (group),ESN,The cases of human rights and environmental defenders Andrie Yunus and Muhammad Rosidi in Indonesia,ABSTAIN,2026-05-21
EPP (group),EPP,"The repression and execution of protesters, dissidents, political prisoners and religious minorities",FOR,2026-05-21
S&D (group),S&D,"The repression and execution of protesters, dissidents, political prisoners and religious minorities",FOR,2026-05-21
Patriots for Europe (group),Patriots for Europe,"The repression and execution of protesters, dissidents, political prisoners and religious minorities",FOR,2026-05-21
ECR (group),ECR,"The repression and execution of protesters, dissidents, political prisoners and religious minorities",FOR,2026-05-21
Renew (group),Renew,"The repression and execution of protesters, dissidents, political prisoners and religious minorities",FOR,2026-05-21
Greens/EFA (group),Greens/EFA,"The repression and execution of protesters, dissidents, political prisoners and religious minorities",FOR,2026-05-21
The Left (group),The Left,"The repression and execution of protesters, dissidents, political prisoners and religious minorities",ABSTAIN,2026-05-21
NI (group),NI,"The repression and execution of protesters, dissidents, political prisoners and religious minorities",AGAINST,2026-05-21
ESN (group),ESN,"The repression and execution of protesters, dissidents, political prisoners and religious minorities",FOR,2026-05-21
EPP (group),EPP,The situation of women and girls in Afghanistan following the Taliban's adoption of the Criminal Pro,FOR,2026-05-21
S&D (group),S&D,The situation of women and girls in Afghanistan following the Taliban's adoption of the Criminal Pro,FOR,2026-05-21
Patriots for Europe (group),Patriots for Europe,The situation of women and girls in Afghanistan following the Taliban's adoption of the Criminal Pro,ABSTAIN,2026-05-21
ECR (group),ECR,The situation of women and girls in Afghanistan following the Taliban's adoption of the Criminal Pro,FOR,2026-05-21
Renew (group),Renew,The situation of women and girls in Afghanistan following the Taliban's adoption of the Criminal Pro,FOR,2026-05-21
Greens/EFA (group),Greens/EFA,The situation of women and girls in Afghanistan following the Taliban's adoption of the Criminal Pro,FOR,2026-05-21
The Left (group),The Left,The situation of women and girls in Afghanistan following the Taliban's adoption of the Criminal Pro,FOR,2026-05-21
NI (group),NI,The situation of women and girls in Afghanistan following the Taliban's adoption of the Criminal Pro,ABSTAIN,2026-05-21
ESN (group),ESN,The situation of women and girls in Afghanistan following the Taliban's adoption of the Criminal Pro,ABSTAIN,2026-05-21
EPP (group),EPP,EU–Uzbekistan Enhanced Partnership and Cooperation Agreement,FOR,2026-05-20
S&D (group),S&D,EU–Uzbekistan Enhanced Partnership and Cooperation Agreement,FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,EU–Uzbekistan Enhanced Partnership and Cooperation Agreement,FOR,2026-05-20
ECR (group),ECR,EU–Uzbekistan Enhanced Partnership and Cooperation Agreement,FOR,2026-05-20
Renew (group),Renew,EU–Uzbekistan Enhanced Partnership and Cooperation Agreement,FOR,2026-05-20
Greens/EFA (group),Greens/EFA,EU–Uzbekistan Enhanced Partnership and Cooperation Agreement,AGAINST,2026-05-20
The Left (group),The Left,EU–Uzbekistan Enhanced Partnership and Cooperation Agreement,AGAINST,2026-05-20
NI (group),NI,EU–Uzbekistan Enhanced Partnership and Cooperation Agreement,FOR,2026-05-20
ESN (group),ESN,EU–Uzbekistan Enhanced Partnership and Cooperation Agreement,ABSTAIN,2026-05-20
EPP (group),EPP,International Agreement on Olive Oil and Table Olives: amendment of Article 36,FOR,2026-05-20
S&D (group),S&D,International Agreement on Olive Oil and Table Olives: amendment of Article 36,FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,International Agreement on Olive Oil and Table Olives: amendment of Article 36,FOR,2026-05-20
ECR (group),ECR,International Agreement on Olive Oil and Table Olives: amendment of Article 36,FOR,2026-05-20
Renew (group),Renew,International Agreement on Olive Oil and Table Olives: amendment of Article 36,FOR,2026-05-20
Greens/EFA (group),Greens/EFA,International Agreement on Olive Oil and Table Olives: amendment of Article 36,FOR,2026-05-20
The Left (group),The Left,International Agreement on Olive Oil and Table Olives: amendment of Article 36,FOR,2026-05-20
NI (group),NI,International Agreement on Olive Oil and Table Olives: amendment of Article 36,FOR,2026-05-20
ESN (group),ESN,International Agreement on Olive Oil and Table Olives: amendment of Article 36,FOR,2026-05-20
EPP (group),EPP,EU–Lebanon Agreement on cooperation between Eurojust and the authorities of Lebanon competent for ju,FOR,2026-05-20
S&D (group),S&D,EU–Lebanon Agreement on cooperation between Eurojust and the authorities of Lebanon competent for ju,FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,EU–Lebanon Agreement on cooperation between Eurojust and the authorities of Lebanon competent for ju,FOR,2026-05-20
ECR (group),ECR,EU–Lebanon Agreement on cooperation between Eurojust and the authorities of Lebanon competent for ju,FOR,2026-05-20
Renew (group),Renew,EU–Lebanon Agreement on cooperation between Eurojust and the authorities of Lebanon competent for ju,FOR,2026-05-20
Greens/EFA (group),Greens/EFA,EU–Lebanon Agreement on cooperation between Eurojust and the authorities of Lebanon competent for ju,FOR,2026-05-20
The Left (group),The Left,EU–Lebanon Agreement on cooperation between Eurojust and the authorities of Lebanon competent for ju,ABSTAIN,2026-05-20
NI (group),NI,EU–Lebanon Agreement on cooperation between Eurojust and the authorities of Lebanon competent for ju,FOR,2026-05-20
ESN (group),ESN,EU–Lebanon Agreement on cooperation between Eurojust and the authorities of Lebanon competent for ju,ABSTAIN,2026-05-20
EPP (group),EPP,United Nations Convention against Cybercrime,FOR,2026-05-20
S&D (group),S&D,United Nations Convention against Cybercrime,FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,United Nations Convention against Cybercrime,FOR,2026-05-20
ECR (group),ECR,United Nations Convention against Cybercrime,FOR,2026-05-20
Renew (group),Renew,United Nations Convention against Cybercrime,FOR,2026-05-20
Greens/EFA (group),Greens/EFA,United Nations Convention against Cybercrime,AGAINST,2026-05-20
The Left (group),The Left,United Nations Convention against Cybercrime,AGAINST,2026-05-20
NI (group),NI,United Nations Convention against Cybercrime,ABSTAIN,2026-05-20
ESN (group),ESN,United Nations Convention against Cybercrime,ABSTAIN,2026-05-20
EPP (group),EPP,EC–São Tomé and Príncipe Fisheries Partnership Agreement (2025–2029): Implementing Protocol,FOR,2026-05-20
S&D (group),S&D,EC–São Tomé and Príncipe Fisheries Partnership Agreement (2025–2029): Implementing Protocol,FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,EC–São Tomé and Príncipe Fisheries Partnership Agreement (2025–2029): Implementing Protocol,AGAINST,2026-05-20
ECR (group),ECR,EC–São Tomé and Príncipe Fisheries Partnership Agreement (2025–2029): Implementing Protocol,FOR,2026-05-20
Renew (group),Renew,EC–São Tomé and Príncipe Fisheries Partnership Agreement (2025–2029): Implementing Protocol,FOR,2026-05-20
Greens/EFA (group),Greens/EFA,EC–São Tomé and Príncipe Fisheries Partnership Agreement (2025–2029): Implementing Protocol,FOR,2026-05-20
The Left (group),The Left,EC–São Tomé and Príncipe Fisheries Partnership Agreement (2025–2029): Implementing Protocol,AGAINST,2026-05-20
NI (group),NI,EC–São Tomé and Príncipe Fisheries Partnership Agreement (2025–2029): Implementing Protocol,FOR,2026-05-20
ESN (group),ESN,EC–São Tomé and Príncipe Fisheries Partnership Agreement (2025–2029): Implementing Protocol,FOR,2026-05-20
EPP (group),EPP,EU–Cook Islands Sustainable Fisheries Partnership Agreement (2025-2032): Implementing Protocol,FOR,2026-05-20
S&D (group),S&D,EU–Cook Islands Sustainable Fisheries Partnership Agreement (2025-2032): Implementing Protocol,FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,EU–Cook Islands Sustainable Fisheries Partnership Agreement (2025-2032): Implementing Protocol,AGAINST,2026-05-20
ECR (group),ECR,EU–Cook Islands Sustainable Fisheries Partnership Agreement (2025-2032): Implementing Protocol,FOR,2026-05-20
Renew (group),Renew,EU–Cook Islands Sustainable Fisheries Partnership Agreement (2025-2032): Implementing Protocol,FOR,2026-05-20
Greens/EFA (group),Greens/EFA,EU–Cook Islands Sustainable Fisheries Partnership Agreement (2025-2032): Implementing Protocol,ABSTAIN,2026-05-20
The Left (group),The Left,EU–Cook Islands Sustainable Fisheries Partnership Agreement (2025-2032): Implementing Protocol,AGAINST,2026-05-20
NI (group),NI,EU–Cook Islands Sustainable Fisheries Partnership Agreement (2025-2032): Implementing Protocol,FOR,2026-05-20
ESN (group),ESN,EU–Cook Islands Sustainable Fisheries Partnership Agreement (2025-2032): Implementing Protocol,FOR,2026-05-20
EPP (group),EPP,Opportunities and challenges presented by a comprehensive artificial intelligence strategy for EU tr,FOR,2026-05-20
S&D (group),S&D,Opportunities and challenges presented by a comprehensive artificial intelligence strategy for EU tr,FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,Opportunities and challenges presented by a comprehensive artificial intelligence strategy for EU tr,FOR,2026-05-20
ECR (group),ECR,Opportunities and challenges presented by a comprehensive artificial intelligence strategy for EU tr,FOR,2026-05-20
Renew (group),Renew,Opportunities and challenges presented by a comprehensive artificial intelligence strategy for EU tr,FOR,2026-05-20
Greens/EFA (group),Greens/EFA,Opportunities and challenges presented by a comprehensive artificial intelligence strategy for EU tr,FOR,2026-05-20
The Left (group),The Left,Opportunities and challenges presented by a comprehensive artificial intelligence strategy for EU tr,ABSTAIN,2026-05-20
NI (group),NI,Opportunities and challenges presented by a comprehensive artificial intelligence strategy for EU tr,ABSTAIN,2026-05-20
ESN (group),ESN,Opportunities and challenges presented by a comprehensive artificial intelligence strategy for EU tr,AGAINST,2026-05-20
EPP (group),EPP,"Enhanced Partnership and Cooperation Agreement between the European Union, of the one part, and the ",FOR,2026-05-20
S&D (group),S&D,"Enhanced Partnership and Cooperation Agreement between the European Union, of the one part, and the ",FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,"Enhanced Partnership and Cooperation Agreement between the European Union, of the one part, and the ",ABSTAIN,2026-05-20
ECR (group),ECR,"Enhanced Partnership and Cooperation Agreement between the European Union, of the one part, and the ",ABSTAIN,2026-05-20
Renew (group),Renew,"Enhanced Partnership and Cooperation Agreement between the European Union, of the one part, and the ",FOR,2026-05-20
Greens/EFA (group),Greens/EFA,"Enhanced Partnership and Cooperation Agreement between the European Union, of the one part, and the ",FOR,2026-05-20
The Left (group),The Left,"Enhanced Partnership and Cooperation Agreement between the European Union, of the one part, and the ",ABSTAIN,2026-05-20
NI (group),NI,"Enhanced Partnership and Cooperation Agreement between the European Union, of the one part, and the ",FOR,2026-05-20
ESN (group),ESN,"Enhanced Partnership and Cooperation Agreement between the European Union, of the one part, and the ",ABSTAIN,2026-05-20
EPP (group),EPP,The impact of the implementation of the Maritime Spatial Planning Directive 2014/89/EU on fisheries ,FOR,2026-05-20
S&D (group),S&D,The impact of the implementation of the Maritime Spatial Planning Directive 2014/89/EU on fisheries ,FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,The impact of the implementation of the Maritime Spatial Planning Directive 2014/89/EU on fisheries ,FOR,2026-05-20
ECR (group),ECR,The impact of the implementation of the Maritime Spatial Planning Directive 2014/89/EU on fisheries ,FOR,2026-05-20
Renew (group),Renew,The impact of the implementation of the Maritime Spatial Planning Directive 2014/89/EU on fisheries ,FOR,2026-05-20
Greens/EFA (group),Greens/EFA,The impact of the implementation of the Maritime Spatial Planning Directive 2014/89/EU on fisheries ,ABSTAIN,2026-05-20
The Left (group),The Left,The impact of the implementation of the Maritime Spatial Planning Directive 2014/89/EU on fisheries ,ABSTAIN,2026-05-20
NI (group),NI,The impact of the implementation of the Maritime Spatial Planning Directive 2014/89/EU on fisheries ,FOR,2026-05-20
ESN (group),ESN,The impact of the implementation of the Maritime Spatial Planning Directive 2014/89/EU on fisheries ,FOR,2026-05-20
EPP (group),EPP,EU–Canada Agreement laying down the conditions for the participation of Canadian legal entities and ,FOR,2026-05-20
S&D (group),S&D,EU–Canada Agreement laying down the conditions for the participation of Canadian legal entities and ,FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,EU–Canada Agreement laying down the conditions for the participation of Canadian legal entities and ,AGAINST,2026-05-20
ECR (group),ECR,EU–Canada Agreement laying down the conditions for the participation of Canadian legal entities and ,FOR,2026-05-20
Renew (group),Renew,EU–Canada Agreement laying down the conditions for the participation of Canadian legal entities and ,FOR,2026-05-20
Greens/EFA (group),Greens/EFA,EU–Canada Agreement laying down the conditions for the participation of Canadian legal entities and ,FOR,2026-05-20
The Left (group),The Left,EU–Canada Agreement laying down the conditions for the participation of Canadian legal entities and ,AGAINST,2026-05-20
NI (group),NI,EU–Canada Agreement laying down the conditions for the participation of Canadian legal entities and ,AGAINST,2026-05-20
ESN (group),ESN,EU–Canada Agreement laying down the conditions for the participation of Canadian legal entities and ,AGAINST,2026-05-20
EPP (group),EPP,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",FOR,2026-05-20
S&D (group),S&D,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",AGAINST,2026-05-20
ECR (group),ECR,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",ABSTAIN,2026-05-20
Renew (group),Renew,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",FOR,2026-05-20
Greens/EFA (group),Greens/EFA,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",ABSTAIN,2026-05-20
The Left (group),The Left,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",AGAINST,2026-05-20
NI (group),NI,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",AGAINST,2026-05-20
ESN (group),ESN,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",AGAINST,2026-05-20
EPP (group),EPP,"The rule of law, fundamental rights and misuse of EU funds in Slovakia: the need for an EU response",FOR,2026-05-20
S&D (group),S&D,"The rule of law, fundamental rights and misuse of EU funds in Slovakia: the need for an EU response",FOR,2026-05-20
Patriots for Europe (group),Patriots for Europe,"The rule of law, fundamental rights and misuse of EU funds in Slovakia: the need for an EU response",AGAINST,2026-05-20
ECR (group),ECR,"The rule of law, fundamental rights and misuse of EU funds in Slovakia: the need for an EU response",AGAINST,2026-05-20
Renew (group),Renew,"The rule of law, fundamental rights and misuse of EU funds in Slovakia: the need for an EU response",FOR,2026-05-20
Greens/EFA (group),Greens/EFA,"The rule of law, fundamental rights and misuse of EU funds in Slovakia: the need for an EU response",FOR,2026-05-20
The Left (group),The Left,"The rule of law, fundamental rights and misuse of EU funds in Slovakia: the need for an EU response",FOR,2026-05-20
NI (group),NI,"The rule of law, fundamental rights and misuse of EU funds in Slovakia: the need for an EU response",AGAINST,2026-05-20
ESN (group),ESN,"The rule of law, fundamental rights and misuse of EU funds in Slovakia: the need for an EU response",AGAINST,2026-05-20
EPP (group),EPP,Negative trade-related effects of global overcapacity on the Union steel market,FOR,2026-05-19
S&D (group),S&D,Negative trade-related effects of global overcapacity on the Union steel market,FOR,2026-05-19
Patriots for Europe (group),Patriots for Europe,Negative trade-related effects of global overcapacity on the Union steel market,FOR,2026-05-19
ECR (group),ECR,Negative trade-related effects of global overcapacity on the Union steel market,FOR,2026-05-19
Renew (group),Renew,Negative trade-related effects of global overcapacity on the Union steel market,FOR,2026-05-19
Greens/EFA (group),Greens/EFA,Negative trade-related effects of global overcapacity on the Union steel market,FOR,2026-05-19
The Left (group),The Left,Negative trade-related effects of global overcapacity on the Union steel market,FOR,2026-05-19
NI (group),NI,Negative trade-related effects of global overcapacity on the Union steel market,FOR,2026-05-19
ESN (group),ESN,Negative trade-related effects of global overcapacity on the Union steel market,ABSTAIN,2026-05-19
EPP (group),EPP,Screening of foreign investments in the Union,FOR,2026-05-19
S&D (group),S&D,Screening of foreign investments in the Union,FOR,2026-05-19
Patriots for Europe (group),Patriots for Europe,Screening of foreign investments in the Union,ABSTAIN,2026-05-19
ECR (group),ECR,Screening of foreign investments in the Union,FOR,2026-05-19
Renew (group),Renew,Screening of foreign investments in the Union,FOR,2026-05-19
Greens/EFA (group),Greens/EFA,Screening of foreign investments in the Union,FOR,2026-05-19
The Left (group),The Left,Screening of foreign investments in the Union,FOR,2026-05-19
NI (group),NI,Screening of foreign investments in the Union,AGAINST,2026-05-19
ESN (group),ESN,Screening of foreign investments in the Union,AGAINST,2026-05-19
EPP (group),EPP,Research Fund for Coal and Steel: research programme and multiannual technical and financial guideli,FOR,2026-05-19
S&D (group),S&D,Research Fund for Coal and Steel: research programme and multiannual technical and financial guideli,FOR,2026-05-19
Patriots for Europe (group),Patriots for Europe,Research Fund for Coal and Steel: research programme and multiannual technical and financial guideli,FOR,2026-05-19
ECR (group),ECR,Research Fund for Coal and Steel: research programme and multiannual technical and financial guideli,FOR,2026-05-19
Renew (group),Renew,Research Fund for Coal and Steel: research programme and multiannual technical and financial guideli,FOR,2026-05-19
Greens/EFA (group),Greens/EFA,Research Fund for Coal and Steel: research programme and multiannual technical and financial guideli,FOR,2026-05-19
The Left (group),The Left,Research Fund for Coal and Steel: research programme and multiannual technical and financial guideli,ABSTAIN,2026-05-19
NI (group),NI,Research Fund for Coal and Steel: research programme and multiannual technical and financial guideli,FOR,2026-05-19
ESN (group),ESN,Research Fund for Coal and Steel: research programme and multiannual technical and financial guideli,ABSTAIN,2026-05-19
