member_name,political_group,policy_topic,vote,date
EPP (group),EPP,"Rights, support and protection of victims of crime",FOR,2026-05-21
S&D (group),S&D,"Rights, support and protection of victims of crime",FOR,2026-05-21
Patriots for Europe (group),Patriots for Europe,"Rights, support and protection of victims of crime",FOR,2026-05-21
ECR (group),ECR,"Rights, support and protection of victims of crime",ABSTAIN,2026-05-21
Renew (group),Renew,"Rights, support and protection of victims of crime",FOR,2026-05-21
Greens/EFA (group),Greens/EFA,"Rights, support and protection of victims of crime",FOR,2026-05-21
The Left (group),The Left,"Rights, support and protection of victims of crime",FOR,2026-05-21
NI (group),NI,"Rights, support and protection of victims of crime",FOR,2026-05-21
ESN (group),ESN,"Rights, support and protection of victims of crime",AGAINST,2026-05-21
EPP (group),EPP,The multiannual plan for the Baltic Sea and ways forward,FOR,2026-05-21
S&D (group),S&D,The multiannual plan for the Baltic Sea and ways forward,FOR,2026-05-21
Patriots for Europe (group),Patriots for Europe,The multiannual plan for the Baltic Sea and ways forward,AGAINST,2026-05-21
ECR (group),ECR,The multiannual plan for the Baltic Sea and ways forward,AGAINST,2026-05-21
Renew (group),Renew,The multiannual plan for the Baltic Sea and ways forward,FOR,2026-05-21
Greens/EFA (group),Greens/EFA,The multiannual plan for the Baltic Sea and ways forward,FOR,2026-05-21
The Left (group),The Left,The multiannual plan for the Baltic Sea and ways forward,FOR,2026-05-21
NI (group),NI,The multiannual plan for the Baltic Sea and ways forward,FOR,2026-05-21
ESN (group),ESN,The multiannual plan for the Baltic Sea and ways forward,AGAINST,2026-05-21
EPP (group),EPP,Advancing towards a care society: addressing the gender care gap,FOR,2026-05-21
S&D (group),S&D,Advancing towards a care society: addressing the gender care gap,ABSTAIN,2026-05-21
Patriots for Europe (group),Patriots for Europe,Advancing towards a care society: addressing the gender care gap,AGAINST,2026-05-21
ECR (group),ECR,Advancing towards a care society: addressing the gender care gap,ABSTAIN,2026-05-21
Renew (group),Renew,Advancing towards a care society: addressing the gender care gap,FOR,2026-05-21
Greens/EFA (group),Greens/EFA,Advancing towards a care society: addressing the gender care gap,FOR,2026-05-21
The Left (group),The Left,Advancing towards a care society: addressing the gender care gap,FOR,2026-05-21
NI (group),NI,Advancing towards a care society: addressing the gender care gap,FOR,2026-05-21
ESN (group),ESN,Advancing towards a care society: addressing the gender care gap,AGAINST,2026-05-21
EPP (group),EPP,Amending Regulation (EU) No 575/2013 on prudential requirements for credit institutions as regards r,FOR,2026-05-21
S&D (group),S&D,Amending Regulation (EU) No 575/2013 on prudential requirements for credit institutions as regards r,FOR,2026-05-21
