member_name,political_group,policy_topic,vote,date
EPP (group),EPP,Nuclear decommissioning assistance programme of the Ignalina nuclear power plant in Lithuania for th,FOR,2026-09-16
S&D (group),S&D,Nuclear decommissioning assistance programme of the Ignalina nuclear power plant in Lithuania for th,FOR,2026-09-16
ECR (group),ECR,Nuclear decommissioning assistance programme of the Ignalina nuclear power plant in Lithuania for th,FOR,2026-09-16
Patriots for Europe (group),Patriots for Europe,Nuclear decommissioning assistance programme of the Ignalina nuclear power plant in Lithuania for th,FOR,2026-09-16
Renew (group),Renew,Nuclear decommissioning assistance programme of the Ignalina nuclear power plant in Lithuania for th,FOR,2026-09-16
Greens/EFA (group),Greens/EFA,Nuclear decommissioning assistance programme of the Ignalina nuclear power plant in Lithuania for th,FOR,2026-09-16
The Left (group),The Left,Nuclear decommissioning assistance programme of the Ignalina nuclear power plant in Lithuania for th,FOR,2026-09-16
NI (group),NI,Nuclear decommissioning assistance programme of the Ignalina nuclear power plant in Lithuania for th,FOR,2026-09-16
ESN (group),ESN,Nuclear decommissioning assistance programme of the Ignalina nuclear power plant in Lithuania for th,FOR,2026-09-16
EPP (group),EPP,Establishing the Instrument for Nuclear Safety Cooperation and Decommissioning for the period 2028-2,FOR,2026-09-16
S&D (group),S&D,Establishing the Instrument for Nuclear Safety Cooperation and Decommissioning for the period 2028-2,FOR,2026-09-16
ECR (group),ECR,Establishing the Instrument for Nuclear Safety Cooperation and Decommissioning for the period 2028-2,FOR,2026-09-16
Patriots for Europe (group),Patriots for Europe,Establishing the Instrument for Nuclear Safety Cooperation and Decommissioning for the period 2028-2,FOR,2026-09-16
Renew (group),Renew,Establishing the Instrument for Nuclear Safety Cooperation and Decommissioning for the period 2028-2,FOR,2026-09-16
Greens/EFA (group),Greens/EFA,Establishing the Instrument for Nuclear Safety Cooperation and Decommissioning for the period 2028-2,FOR,2026-09-16
The Left (group),The Left,Establishing the Instrument for Nuclear Safety Cooperation and Decommissioning for the period 2028-2,FOR,2026-09-16
NI (group),NI,Establishing the Instrument for Nuclear Safety Cooperation and Decommissioning for the period 2028-2,FOR,2026-09-16
ESN (group),ESN,Establishing the Instrument for Nuclear Safety Cooperation and Decommissioning for the period 2028-2,FOR,2026-09-16
EPP (group),EPP,Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland re,FOR,2026-09-16
S&D (group),S&D,Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland re,FOR,2026-09-16
ECR (group),ECR,Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland re,FOR,2026-09-16
Patriots for Europe (group),Patriots for Europe,Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland re,FOR,2026-09-16
Renew (group),Renew,Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland re,FOR,2026-09-16
Greens/EFA (group),Greens/EFA,Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland re,FOR,2026-09-16
The Left (group),The Left,Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland re,FOR,2026-09-16
NI (group),NI,Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland re,FOR,2026-09-16
ESN (group),ESN,Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland re,ABSTAIN,2026-09-16
EPP (group),EPP,Conclusion of an agreement between the European Union and the Swiss Confederation on the transfer of,FOR,2026-09-16
S&D (group),S&D,Conclusion of an agreement between the European Union and the Swiss Confederation on the transfer of,FOR,2026-09-16
ECR (group),ECR,Conclusion of an agreement between the European Union and the Swiss Confederation on the transfer of,FOR,2026-09-16
Patriots for Europe (group),Patriots for Europe,Conclusion of an agreement between the European Union and the Swiss Confederation on the transfer of,FOR,2026-09-16
Renew (group),Renew,Conclusion of an agreement between the European Union and the Swiss Confederation on the transfer of,FOR,2026-09-16
Greens/EFA (group),Greens/EFA,Conclusion of an agreement between the European Union and the Swiss Confederation on the transfer of,AGAINST,2026-09-16
The Left (group),The Left,Conclusion of an agreement between the European Union and the Swiss Confederation on the transfer of,AGAINST,2026-09-16
NI (group),NI,Conclusion of an agreement between the European Union and the Swiss Confederation on the transfer of,FOR,2026-09-16
ESN (group),ESN,Conclusion of an agreement between the European Union and the Swiss Confederation on the transfer of,FOR,2026-09-16
EPP (group),EPP,Laying down the rules for participation of Iceland in the GOVSATCOM component of the Union Space Pro,FOR,2026-09-16
S&D (group),S&D,Laying down the rules for participation of Iceland in the GOVSATCOM component of the Union Space Pro,FOR,2026-09-16
ECR (group),ECR,Laying down the rules for participation of Iceland in the GOVSATCOM component of the Union Space Pro,FOR,2026-09-16
Patriots for Europe (group),Patriots for Europe,Laying down the rules for participation of Iceland in the GOVSATCOM component of the Union Space Pro,FOR,2026-09-16
Renew (group),Renew,Laying down the rules for participation of Iceland in the GOVSATCOM component of the Union Space Pro,FOR,2026-09-16
Greens/EFA (group),Greens/EFA,Laying down the rules for participation of Iceland in the GOVSATCOM component of the Union Space Pro,FOR,2026-09-16
The Left (group),The Left,Laying down the rules for participation of Iceland in the GOVSATCOM component of the Union Space Pro,FOR,2026-09-16
NI (group),NI,Laying down the rules for participation of Iceland in the GOVSATCOM component of the Union Space Pro,FOR,2026-09-16
ESN (group),ESN,Laying down the rules for participation of Iceland in the GOVSATCOM component of the Union Space Pro,FOR,2026-09-16
EPP (group),EPP,Laying down the rules for participation of the Kingdom of Norway in the GOVSATCOM component of the U,FOR,2026-09-16
S&D (group),S&D,Laying down the rules for participation of the Kingdom of Norway in the GOVSATCOM component of the U,FOR,2026-09-16
ECR (group),ECR,Laying down the rules for participation of the Kingdom of Norway in the GOVSATCOM component of the U,FOR,2026-09-16
Patriots for Europe (group),Patriots for Europe,Laying down the rules for participation of the Kingdom of Norway in the GOVSATCOM component of the U,FOR,2026-09-16
Renew (group),Renew,Laying down the rules for participation of the Kingdom of Norway in the GOVSATCOM component of the U,FOR,2026-09-16
Greens/EFA (group),Greens/EFA,Laying down the rules for participation of the Kingdom of Norway in the GOVSATCOM component of the U,FOR,2026-09-16
The Left (group),The Left,Laying down the rules for participation of the Kingdom of Norway in the GOVSATCOM component of the U,FOR,2026-09-16
NI (group),NI,Laying down the rules for participation of the Kingdom of Norway in the GOVSATCOM component of the U,FOR,2026-09-16
ESN (group),ESN,Laying down the rules for participation of the Kingdom of Norway in the GOVSATCOM component of the U,FOR,2026-09-16
EPP (group),EPP,Acceleration of permit-granting for defence readiness projects,FOR,2026-09-16
S&D (group),S&D,Acceleration of permit-granting for defence readiness projects,FOR,2026-09-16
ECR (group),ECR,Acceleration of permit-granting for defence readiness projects,FOR,2026-09-16
Patriots for Europe (group),Patriots for Europe,Acceleration of permit-granting for defence readiness projects,FOR,2026-09-16
Renew (group),Renew,Acceleration of permit-granting for defence readiness projects,FOR,2026-09-16
Greens/EFA (group),Greens/EFA,Acceleration of permit-granting for defence readiness projects,FOR,2026-09-16
The Left (group),The Left,Acceleration of permit-granting for defence readiness projects,AGAINST,2026-09-16
NI (group),NI,Acceleration of permit-granting for defence readiness projects,AGAINST,2026-09-16
ESN (group),ESN,Acceleration of permit-granting for defence readiness projects,AGAINST,2026-09-16
EPP (group),EPP,"Amending Directives 2009/43/EC and 2009/81/EC, as regards the simplification of intra-EU transfers o",FOR,2026-09-16
