member_name,political_group,policy_topic,vote,date
EPP (group),EPP,An EU health workforce crisis plan: sustainability of healthcare systems and employment and working ,FOR,2026-09-17
S&D (group),S&D,An EU health workforce crisis plan: sustainability of healthcare systems and employment and working ,FOR,2026-09-17
ECR (group),ECR,An EU health workforce crisis plan: sustainability of healthcare systems and employment and working ,FOR,2026-09-17
Patriots for Europe (group),Patriots for Europe,An EU health workforce crisis plan: sustainability of healthcare systems and employment and working ,FOR,2026-09-17
Renew (group),Renew,An EU health workforce crisis plan: sustainability of healthcare systems and employment and working ,FOR,2026-09-17
Greens/EFA (group),Greens/EFA,An EU health workforce crisis plan: sustainability of healthcare systems and employment and working ,FOR,2026-09-17
The Left (group),The Left,An EU health workforce crisis plan: sustainability of healthcare systems and employment and working ,FOR,2026-09-17
NI (group),NI,An EU health workforce crisis plan: sustainability of healthcare systems and employment and working ,FOR,2026-09-17
ESN (group),ESN,An EU health workforce crisis plan: sustainability of healthcare systems and employment and working ,AGAINST,2026-09-17
EPP (group),EPP,Impact of social media and the online environment on young people,FOR,2026-09-17
S&D (group),S&D,Impact of social media and the online environment on young people,FOR,2026-09-17
ECR (group),ECR,Impact of social media and the online environment on young people,AGAINST,2026-09-17
Patriots for Europe (group),Patriots for Europe,Impact of social media and the online environment on young people,ABSTAIN,2026-09-17
Renew (group),Renew,Impact of social media and the online environment on young people,FOR,2026-09-17
Greens/EFA (group),Greens/EFA,Impact of social media and the online environment on young people,FOR,2026-09-17
The Left (group),The Left,Impact of social media and the online environment on young people,FOR,2026-09-17
NI (group),NI,Impact of social media and the online environment on young people,AGAINST,2026-09-17
ESN (group),ESN,Impact of social media and the online environment on young people,AGAINST,2026-09-17
EPP (group),EPP,"The role of social, economic and environmental standards in safeguarding fair competition for all aq",FOR,2026-09-17
S&D (group),S&D,"The role of social, economic and environmental standards in safeguarding fair competition for all aq",FOR,2026-09-17
ECR (group),ECR,"The role of social, economic and environmental standards in safeguarding fair competition for all aq",FOR,2026-09-17
Patriots for Europe (group),Patriots for Europe,"The role of social, economic and environmental standards in safeguarding fair competition for all aq",FOR,2026-09-17
Renew (group),Renew,"The role of social, economic and environmental standards in safeguarding fair competition for all aq",FOR,2026-09-17
Greens/EFA (group),Greens/EFA,"The role of social, economic and environmental standards in safeguarding fair competition for all aq",AGAINST,2026-09-17
The Left (group),The Left,"The role of social, economic and environmental standards in safeguarding fair competition for all aq",AGAINST,2026-09-17
NI (group),NI,"The role of social, economic and environmental standards in safeguarding fair competition for all aq",FOR,2026-09-17
ESN (group),ESN,"The role of social, economic and environmental standards in safeguarding fair competition for all aq",FOR,2026-09-17
EPP (group),EPP,Strengthening global health resilience in partner countries,FOR,2026-09-17
S&D (group),S&D,Strengthening global health resilience in partner countries,FOR,2026-09-17
ECR (group),ECR,Strengthening global health resilience in partner countries,AGAINST,2026-09-17
Patriots for Europe (group),Patriots for Europe,Strengthening global health resilience in partner countries,AGAINST,2026-09-17
Renew (group),Renew,Strengthening global health resilience in partner countries,FOR,2026-09-17
Greens/EFA (group),Greens/EFA,Strengthening global health resilience in partner countries,FOR,2026-09-17
The Left (group),The Left,Strengthening global health resilience in partner countries,FOR,2026-09-17
NI (group),NI,Strengthening global health resilience in partner countries,AGAINST,2026-09-17
ESN (group),ESN,Strengthening global health resilience in partner countries,AGAINST,2026-09-17
EPP (group),EPP,Narco-trafficking in Europe’s waters: protecting our borders and supporting our law enforcement offi,FOR,2026-09-17
S&D (group),S&D,Narco-trafficking in Europe’s waters: protecting our borders and supporting our law enforcement offi,FOR,2026-09-17
ECR (group),ECR,Narco-trafficking in Europe’s waters: protecting our borders and supporting our law enforcement offi,FOR,2026-09-17
Patriots for Europe (group),Patriots for Europe,Narco-trafficking in Europe’s waters: protecting our borders and supporting our law enforcement offi,FOR,2026-09-17
Renew (group),Renew,Narco-trafficking in Europe’s waters: protecting our borders and supporting our law enforcement offi,FOR,2026-09-17
Greens/EFA (group),Greens/EFA,Narco-trafficking in Europe’s waters: protecting our borders and supporting our law enforcement offi,FOR,2026-09-17
The Left (group),The Left,Narco-trafficking in Europe’s waters: protecting our borders and supporting our law enforcement offi,FOR,2026-09-17
NI (group),NI,Narco-trafficking in Europe’s waters: protecting our borders and supporting our law enforcement offi,FOR,2026-09-17
ESN (group),ESN,Narco-trafficking in Europe’s waters: protecting our borders and supporting our law enforcement offi,FOR,2026-09-17
EPP (group),EPP,Evaluation of the Common Fisheries Policy and follow-up,FOR,2026-09-17
S&D (group),S&D,Evaluation of the Common Fisheries Policy and follow-up,FOR,2026-09-17
ECR (group),ECR,Evaluation of the Common Fisheries Policy and follow-up,FOR,2026-09-17
Patriots for Europe (group),Patriots for Europe,Evaluation of the Common Fisheries Policy and follow-up,AGAINST,2026-09-17
