member_name,political_group,policy_topic,vote,date
ESN (group),ESN,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),AGAINST,2026-06-17
EPP (group),EPP,2025 Commission report on Bosnia and Herzegovina,FOR,2026-06-17
S&D (group),S&D,2025 Commission report on Bosnia and Herzegovina,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,2025 Commission report on Bosnia and Herzegovina,AGAINST,2026-06-17
ECR (group),ECR,2025 Commission report on Bosnia and Herzegovina,FOR,2026-06-17
Renew (group),Renew,2025 Commission report on Bosnia and Herzegovina,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,2025 Commission report on Bosnia and Herzegovina,FOR,2026-06-17
The Left (group),The Left,2025 Commission report on Bosnia and Herzegovina,ABSTAIN,2026-06-17
NI (group),NI,2025 Commission report on Bosnia and Herzegovina,AGAINST,2026-06-17
ESN (group),ESN,2025 Commission report on Bosnia and Herzegovina,AGAINST,2026-06-17
EPP (group),EPP,2025 Commission report on Kosovo,FOR,2026-06-17
S&D (group),S&D,2025 Commission report on Kosovo,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,2025 Commission report on Kosovo,AGAINST,2026-06-17
ECR (group),ECR,2025 Commission report on Kosovo,FOR,2026-06-17
Renew (group),Renew,2025 Commission report on Kosovo,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,2025 Commission report on Kosovo,FOR,2026-06-17
The Left (group),The Left,2025 Commission report on Kosovo,AGAINST,2026-06-17
NI (group),NI,2025 Commission report on Kosovo,AGAINST,2026-06-17
ESN (group),ESN,2025 Commission report on Kosovo,AGAINST,2026-06-17
EPP (group),EPP,2025 Commission report on North Macedonia,FOR,2026-06-17
S&D (group),S&D,2025 Commission report on North Macedonia,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,2025 Commission report on North Macedonia,AGAINST,2026-06-17
ECR (group),ECR,2025 Commission report on North Macedonia,ABSTAIN,2026-06-17
Renew (group),Renew,2025 Commission report on North Macedonia,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,2025 Commission report on North Macedonia,FOR,2026-06-17
The Left (group),The Left,2025 Commission report on North Macedonia,ABSTAIN,2026-06-17
NI (group),NI,2025 Commission report on North Macedonia,AGAINST,2026-06-17
ESN (group),ESN,2025 Commission report on North Macedonia,AGAINST,2026-06-17
EPP (group),EPP,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,FOR,2026-06-17
S&D (group),S&D,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,AGAINST,2026-06-17
Patriots for Europe (group),Patriots for Europe,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,FOR,2026-06-17
ECR (group),ECR,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,FOR,2026-06-17
Renew (group),Renew,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,AGAINST,2026-06-17
The Left (group),The Left,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,AGAINST,2026-06-17
NI (group),NI,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,FOR,2026-06-17
ESN (group),ESN,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,FOR,2026-06-17
EPP (group),EPP,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,AGAINST,2026-06-17
S&D (group),S&D,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,AGAINST,2026-06-17
ECR (group),ECR,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,AGAINST,2026-06-17
Renew (group),Renew,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,AGAINST,2026-06-17
Greens/EFA (group),Greens/EFA,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,FOR,2026-06-17
The Left (group),The Left,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,FOR,2026-06-17
NI (group),NI,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,AGAINST,2026-06-17
ESN (group),ESN,Common system for the return of third-country nationals staying illegally in the Union (Return Regul,AGAINST,2026-06-17
EPP (group),EPP,Adjustment of customs duties and opening of tariff quotas for the import of certain goods originatin,FOR,2026-06-16
S&D (group),S&D,Adjustment of customs duties and opening of tariff quotas for the import of certain goods originatin,FOR,2026-06-16
Patriots for Europe (group),Patriots for Europe,Adjustment of customs duties and opening of tariff quotas for the import of certain goods originatin,AGAINST,2026-06-16
ECR (group),ECR,Adjustment of customs duties and opening of tariff quotas for the import of certain goods originatin,FOR,2026-06-16
Renew (group),Renew,Adjustment of customs duties and opening of tariff quotas for the import of certain goods originatin,FOR,2026-06-16
Greens/EFA (group),Greens/EFA,Adjustment of customs duties and opening of tariff quotas for the import of certain goods originatin,FOR,2026-06-16
The Left (group),The Left,Adjustment of customs duties and opening of tariff quotas for the import of certain goods originatin,AGAINST,2026-06-16
NI (group),NI,Adjustment of customs duties and opening of tariff quotas for the import of certain goods originatin,AGAINST,2026-06-16
ESN (group),ESN,Adjustment of customs duties and opening of tariff quotas for the import of certain goods originatin,ABSTAIN,2026-06-16
EPP (group),EPP,Strengthening of the position of farmers in the food supply chain,FOR,2026-06-16
S&D (group),S&D,Strengthening of the position of farmers in the food supply chain,FOR,2026-06-16
Patriots for Europe (group),Patriots for Europe,Strengthening of the position of farmers in the food supply chain,FOR,2026-06-16
ECR (group),ECR,Strengthening of the position of farmers in the food supply chain,FOR,2026-06-16
Renew (group),Renew,Strengthening of the position of farmers in the food supply chain,FOR,2026-06-16
Greens/EFA (group),Greens/EFA,Strengthening of the position of farmers in the food supply chain,AGAINST,2026-06-16
The Left (group),The Left,Strengthening of the position of farmers in the food supply chain,FOR,2026-06-16
NI (group),NI,Strengthening of the position of farmers in the food supply chain,FOR,2026-06-16
ESN (group),ESN,Strengthening of the position of farmers in the food supply chain,FOR,2026-06-16
EPP (group),EPP,Financial consequences of the expiry of the ECSC Treaty and Research Fund for Coal and Steel: implem,FOR,2026-06-16
S&D (group),S&D,Financial consequences of the expiry of the ECSC Treaty and Research Fund for Coal and Steel: implem,FOR,2026-06-16
Patriots for Europe (group),Patriots for Europe,Financial consequences of the expiry of the ECSC Treaty and Research Fund for Coal and Steel: implem,FOR,2026-06-16
ECR (group),ECR,Financial consequences of the expiry of the ECSC Treaty and Research Fund for Coal and Steel: implem,FOR,2026-06-16
Renew (group),Renew,Financial consequences of the expiry of the ECSC Treaty and Research Fund for Coal and Steel: implem,FOR,2026-06-16
Greens/EFA (group),Greens/EFA,Financial consequences of the expiry of the ECSC Treaty and Research Fund for Coal and Steel: implem,FOR,2026-06-16
The Left (group),The Left,Financial consequences of the expiry of the ECSC Treaty and Research Fund for Coal and Steel: implem,ABSTAIN,2026-06-16
NI (group),NI,Financial consequences of the expiry of the ECSC Treaty and Research Fund for Coal and Steel: implem,FOR,2026-06-16
ESN (group),ESN,Financial consequences of the expiry of the ECSC Treaty and Research Fund for Coal and Steel: implem,AGAINST,2026-06-16
EPP (group),EPP,Non-application of customs duties on imports of certain goods,FOR,2026-06-16
S&D (group),S&D,Non-application of customs duties on imports of certain goods,FOR,2026-06-16
Patriots for Europe (group),Patriots for Europe,Non-application of customs duties on imports of certain goods,AGAINST,2026-06-16
ECR (group),ECR,Non-application of customs duties on imports of certain goods,FOR,2026-06-16
Renew (group),Renew,Non-application of customs duties on imports of certain goods,FOR,2026-06-16
Greens/EFA (group),Greens/EFA,Non-application of customs duties on imports of certain goods,AGAINST,2026-06-16
The Left (group),The Left,Non-application of customs duties on imports of certain goods,AGAINST,2026-06-16
NI (group),NI,Non-application of customs duties on imports of certain goods,AGAINST,2026-06-16
ESN (group),ESN,Non-application of customs duties on imports of certain goods,ABSTAIN,2026-06-16
EPP (group),EPP,Role of trade in strengthening the EU's economic security,FOR,2026-06-16
S&D (group),S&D,Role of trade in strengthening the EU's economic security,FOR,2026-06-16
Patriots for Europe (group),Patriots for Europe,Role of trade in strengthening the EU's economic security,ABSTAIN,2026-06-16
ECR (group),ECR,Role of trade in strengthening the EU's economic security,ABSTAIN,2026-06-16
Renew (group),Renew,Role of trade in strengthening the EU's economic security,FOR,2026-06-16
Greens/EFA (group),Greens/EFA,Role of trade in strengthening the EU's economic security,FOR,2026-06-16
The Left (group),The Left,Role of trade in strengthening the EU's economic security,AGAINST,2026-06-16
NI (group),NI,Role of trade in strengthening the EU's economic security,AGAINST,2026-06-16
ESN (group),ESN,Role of trade in strengthening the EU's economic security,AGAINST,2026-06-16
EPP (group),EPP,"European political parties and foundations – 2026 report on the application of Regulation (EU, Eurat",FOR,2026-06-16
S&D (group),S&D,"European political parties and foundations – 2026 report on the application of Regulation (EU, Eurat",FOR,2026-06-16
Patriots for Europe (group),Patriots for Europe,"European political parties and foundations – 2026 report on the application of Regulation (EU, Eurat",AGAINST,2026-06-16
ECR (group),ECR,"European political parties and foundations – 2026 report on the application of Regulation (EU, Eurat",ABSTAIN,2026-06-16
Renew (group),Renew,"European political parties and foundations – 2026 report on the application of Regulation (EU, Eurat",FOR,2026-06-16
Greens/EFA (group),Greens/EFA,"European political parties and foundations – 2026 report on the application of Regulation (EU, Eurat",FOR,2026-06-16
The Left (group),The Left,"European political parties and foundations – 2026 report on the application of Regulation (EU, Eurat",ABSTAIN,2026-06-16
NI (group),NI,"European political parties and foundations – 2026 report on the application of Regulation (EU, Eurat",AGAINST,2026-06-16
ESN (group),ESN,"European political parties and foundations – 2026 report on the application of Regulation (EU, Eurat",AGAINST,2026-06-16
EPP (group),EPP,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers: application EGF/20,FOR,2026-06-16
S&D (group),S&D,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers: application EGF/20,FOR,2026-06-16
Patriots for Europe (group),Patriots for Europe,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers: application EGF/20,FOR,2026-06-16
ECR (group),ECR,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers: application EGF/20,FOR,2026-06-16
Renew (group),Renew,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers: application EGF/20,FOR,2026-06-16
Greens/EFA (group),Greens/EFA,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers: application EGF/20,FOR,2026-06-16
The Left (group),The Left,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers: application EGF/20,FOR,2026-06-16
NI (group),NI,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers: application EGF/20,FOR,2026-06-16
ESN (group),ESN,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers: application EGF/20,AGAINST,2026-06-16
EPP (group),EPP,Simplification of the implementation of harmonised rules on artificial intelligence – Digital Omnibu,FOR,2026-06-16
S&D (group),S&D,Simplification of the implementation of harmonised rules on artificial intelligence – Digital Omnibu,FOR,2026-06-16
Patriots for Europe (group),Patriots for Europe,Simplification of the implementation of harmonised rules on artificial intelligence – Digital Omnibu,ABSTAIN,2026-06-16
ECR (group),ECR,Simplification of the implementation of harmonised rules on artificial intelligence – Digital Omnibu,ABSTAIN,2026-06-16
Renew (group),Renew,Simplification of the implementation of harmonised rules on artificial intelligence – Digital Omnibu,FOR,2026-06-16
Greens/EFA (group),Greens/EFA,Simplification of the implementation of harmonised rules on artificial intelligence – Digital Omnibu,FOR,2026-06-16
The Left (group),The Left,Simplification of the implementation of harmonised rules on artificial intelligence – Digital Omnibu,AGAINST,2026-06-16
NI (group),NI,Simplification of the implementation of harmonised rules on artificial intelligence – Digital Omnibu,AGAINST,2026-06-16
ESN (group),ESN,Simplification of the implementation of harmonised rules on artificial intelligence – Digital Omnibu,ABSTAIN,2026-06-16
EPP (group),EPP,Countering transnational repression – towards an EU strategy to protect Europe’s sovereignty and dem,FOR,2026-06-16
S&D (group),S&D,Countering transnational repression – towards an EU strategy to protect Europe’s sovereignty and dem,FOR,2026-06-16
Patriots for Europe (group),Patriots for Europe,Countering transnational repression – towards an EU strategy to protect Europe’s sovereignty and dem,AGAINST,2026-06-16
ECR (group),ECR,Countering transnational repression – towards an EU strategy to protect Europe’s sovereignty and dem,ABSTAIN,2026-06-16
Renew (group),Renew,Countering transnational repression – towards an EU strategy to protect Europe’s sovereignty and dem,FOR,2026-06-16
Greens/EFA (group),Greens/EFA,Countering transnational repression – towards an EU strategy to protect Europe’s sovereignty and dem,FOR,2026-06-16
The Left (group),The Left,Countering transnational repression – towards an EU strategy to protect Europe’s sovereignty and dem,ABSTAIN,2026-06-16
NI (group),NI,Countering transnational repression – towards an EU strategy to protect Europe’s sovereignty and dem,AGAINST,2026-06-16
ESN (group),ESN,Countering transnational repression – towards an EU strategy to protect Europe’s sovereignty and dem,AGAINST,2026-06-16
