member_name,political_group,policy_topic,vote,date
EPP (group),EPP,2025 Commission report on Albania,FOR,2026-06-17
S&D (group),S&D,2025 Commission report on Albania,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,2025 Commission report on Albania,AGAINST,2026-06-17
ECR (group),ECR,2025 Commission report on Albania,FOR,2026-06-17
Renew (group),Renew,2025 Commission report on Albania,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,2025 Commission report on Albania,FOR,2026-06-17
The Left (group),The Left,2025 Commission report on Albania,ABSTAIN,2026-06-17
NI (group),NI,2025 Commission report on Albania,AGAINST,2026-06-17
ESN (group),ESN,2025 Commission report on Albania,AGAINST,2026-06-17
EPP (group),EPP,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance ",FOR,2026-06-17
S&D (group),S&D,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance ",FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance ",FOR,2026-06-17
ECR (group),ECR,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance ",FOR,2026-06-17
Renew (group),Renew,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance ",FOR,2026-06-17
Greens/EFA (group),Greens/EFA,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance ",FOR,2026-06-17
The Left (group),The Left,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance ",AGAINST,2026-06-17
NI (group),NI,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance ",FOR,2026-06-17
ESN (group),ESN,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance ",FOR,2026-06-17
EPP (group),EPP,Termination of the Voluntary Partnership Agreement between the European Union and the Republic of Li,FOR,2026-06-17
S&D (group),S&D,Termination of the Voluntary Partnership Agreement between the European Union and the Republic of Li,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,Termination of the Voluntary Partnership Agreement between the European Union and the Republic of Li,FOR,2026-06-17
ECR (group),ECR,Termination of the Voluntary Partnership Agreement between the European Union and the Republic of Li,ABSTAIN,2026-06-17
Renew (group),Renew,Termination of the Voluntary Partnership Agreement between the European Union and the Republic of Li,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,Termination of the Voluntary Partnership Agreement between the European Union and the Republic of Li,FOR,2026-06-17
The Left (group),The Left,Termination of the Voluntary Partnership Agreement between the European Union and the Republic of Li,FOR,2026-06-17
NI (group),NI,Termination of the Voluntary Partnership Agreement between the European Union and the Republic of Li,FOR,2026-06-17
ESN (group),ESN,Termination of the Voluntary Partnership Agreement between the European Union and the Republic of Li,AGAINST,2026-06-17
EPP (group),EPP,2025 Commission report on Montenegro,FOR,2026-06-17
S&D (group),S&D,2025 Commission report on Montenegro,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,2025 Commission report on Montenegro,AGAINST,2026-06-17
ECR (group),ECR,2025 Commission report on Montenegro,FOR,2026-06-17
Renew (group),Renew,2025 Commission report on Montenegro,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,2025 Commission report on Montenegro,FOR,2026-06-17
The Left (group),The Left,2025 Commission report on Montenegro,ABSTAIN,2026-06-17
NI (group),NI,2025 Commission report on Montenegro,AGAINST,2026-06-17
ESN (group),ESN,2025 Commission report on Montenegro,AGAINST,2026-06-17
EPP (group),EPP,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",FOR,2026-06-17
S&D (group),S&D,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",AGAINST,2026-06-17
ECR (group),ECR,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",ABSTAIN,2026-06-17
Renew (group),Renew,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",FOR,2026-06-17
Greens/EFA (group),Greens/EFA,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",FOR,2026-06-17
The Left (group),The Left,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",FOR,2026-06-17
NI (group),NI,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",ABSTAIN,2026-06-17
ESN (group),ESN,"Recommendation to the Council, the Commission and the Vice-President of the Commission / High Repres",AGAINST,2026-06-17
EPP (group),EPP,General arrangements for excise duty applied to tobacco and tobacco related products,FOR,2026-06-17
S&D (group),S&D,General arrangements for excise duty applied to tobacco and tobacco related products,AGAINST,2026-06-17
Patriots for Europe (group),Patriots for Europe,General arrangements for excise duty applied to tobacco and tobacco related products,FOR,2026-06-17
ECR (group),ECR,General arrangements for excise duty applied to tobacco and tobacco related products,FOR,2026-06-17
Renew (group),Renew,General arrangements for excise duty applied to tobacco and tobacco related products,AGAINST,2026-06-17
Greens/EFA (group),Greens/EFA,General arrangements for excise duty applied to tobacco and tobacco related products,AGAINST,2026-06-17
The Left (group),The Left,General arrangements for excise duty applied to tobacco and tobacco related products,AGAINST,2026-06-17
NI (group),NI,General arrangements for excise duty applied to tobacco and tobacco related products,FOR,2026-06-17
ESN (group),ESN,General arrangements for excise duty applied to tobacco and tobacco related products,AGAINST,2026-06-17
EPP (group),EPP,2025 Commission report on Georgia,FOR,2026-06-17
S&D (group),S&D,2025 Commission report on Georgia,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,2025 Commission report on Georgia,AGAINST,2026-06-17
ECR (group),ECR,2025 Commission report on Georgia,FOR,2026-06-17
Renew (group),Renew,2025 Commission report on Georgia,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,2025 Commission report on Georgia,FOR,2026-06-17
The Left (group),The Left,2025 Commission report on Georgia,AGAINST,2026-06-17
NI (group),NI,2025 Commission report on Georgia,AGAINST,2026-06-17
ESN (group),ESN,2025 Commission report on Georgia,AGAINST,2026-06-17
EPP (group),EPP,EU–Pakistan Agreement: modification of concessions on all the tariff rate quotas included in the EU ,FOR,2026-06-17
S&D (group),S&D,EU–Pakistan Agreement: modification of concessions on all the tariff rate quotas included in the EU ,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,EU–Pakistan Agreement: modification of concessions on all the tariff rate quotas included in the EU ,FOR,2026-06-17
ECR (group),ECR,EU–Pakistan Agreement: modification of concessions on all the tariff rate quotas included in the EU ,FOR,2026-06-17
Renew (group),Renew,EU–Pakistan Agreement: modification of concessions on all the tariff rate quotas included in the EU ,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,EU–Pakistan Agreement: modification of concessions on all the tariff rate quotas included in the EU ,FOR,2026-06-17
The Left (group),The Left,EU–Pakistan Agreement: modification of concessions on all the tariff rate quotas included in the EU ,FOR,2026-06-17
NI (group),NI,EU–Pakistan Agreement: modification of concessions on all the tariff rate quotas included in the EU ,FOR,2026-06-17
ESN (group),ESN,EU–Pakistan Agreement: modification of concessions on all the tariff rate quotas included in the EU ,FOR,2026-06-17
EPP (group),EPP,European Public Prosecutor’s Office (EPPO) and European Anti-Fraud Office (OLAF): access to value ad,FOR,2026-06-17
S&D (group),S&D,European Public Prosecutor’s Office (EPPO) and European Anti-Fraud Office (OLAF): access to value ad,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,European Public Prosecutor’s Office (EPPO) and European Anti-Fraud Office (OLAF): access to value ad,ABSTAIN,2026-06-17
ECR (group),ECR,European Public Prosecutor’s Office (EPPO) and European Anti-Fraud Office (OLAF): access to value ad,FOR,2026-06-17
Renew (group),Renew,European Public Prosecutor’s Office (EPPO) and European Anti-Fraud Office (OLAF): access to value ad,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,European Public Prosecutor’s Office (EPPO) and European Anti-Fraud Office (OLAF): access to value ad,FOR,2026-06-17
The Left (group),The Left,European Public Prosecutor’s Office (EPPO) and European Anti-Fraud Office (OLAF): access to value ad,FOR,2026-06-17
NI (group),NI,European Public Prosecutor’s Office (EPPO) and European Anti-Fraud Office (OLAF): access to value ad,FOR,2026-06-17
ESN (group),ESN,European Public Prosecutor’s Office (EPPO) and European Anti-Fraud Office (OLAF): access to value ad,AGAINST,2026-06-17
EPP (group),EPP,2025 Commission report on Türkiye,FOR,2026-06-17
S&D (group),S&D,2025 Commission report on Türkiye,FOR,2026-06-17
Patriots for Europe (group),Patriots for Europe,2025 Commission report on Türkiye,AGAINST,2026-06-17
ECR (group),ECR,2025 Commission report on Türkiye,ABSTAIN,2026-06-17
Renew (group),Renew,2025 Commission report on Türkiye,FOR,2026-06-17
Greens/EFA (group),Greens/EFA,2025 Commission report on Türkiye,FOR,2026-06-17
The Left (group),The Left,2025 Commission report on Türkiye,ABSTAIN,2026-06-17
NI (group),NI,2025 Commission report on Türkiye,AGAINST,2026-06-17
ESN (group),ESN,2025 Commission report on Türkiye,AGAINST,2026-06-17
EPP (group),EPP,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),FOR,2026-06-17
S&D (group),S&D,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),AGAINST,2026-06-17
Patriots for Europe (group),Patriots for Europe,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),AGAINST,2026-06-17
ECR (group),ECR,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),AGAINST,2026-06-17
Renew (group),Renew,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),AGAINST,2026-06-17
Greens/EFA (group),Greens/EFA,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),AGAINST,2026-06-17
The Left (group),The Left,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),AGAINST,2026-06-17
NI (group),NI,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),AGAINST,2026-06-17
