member_name,political_group,policy_topic,vote,date
EPP (group),EPP,Circularity requirements for vehicle design and management of end-of-life vehicles,FOR,2026-06-18
S&D (group),S&D,Circularity requirements for vehicle design and management of end-of-life vehicles,FOR,2026-06-18
Patriots for Europe (group),Patriots for Europe,Circularity requirements for vehicle design and management of end-of-life vehicles,AGAINST,2026-06-18
ECR (group),ECR,Circularity requirements for vehicle design and management of end-of-life vehicles,FOR,2026-06-18
Renew (group),Renew,Circularity requirements for vehicle design and management of end-of-life vehicles,FOR,2026-06-18
Greens/EFA (group),Greens/EFA,Circularity requirements for vehicle design and management of end-of-life vehicles,FOR,2026-06-18
The Left (group),The Left,Circularity requirements for vehicle design and management of end-of-life vehicles,FOR,2026-06-18
NI (group),NI,Circularity requirements for vehicle design and management of end-of-life vehicles,AGAINST,2026-06-18
ESN (group),ESN,Circularity requirements for vehicle design and management of end-of-life vehicles,AGAINST,2026-06-18
EPP (group),EPP,Circularity requirements for vehicle design and management of end-of-life vehicles,AGAINST,2026-06-18
S&D (group),S&D,Circularity requirements for vehicle design and management of end-of-life vehicles,AGAINST,2026-06-18
Patriots for Europe (group),Patriots for Europe,Circularity requirements for vehicle design and management of end-of-life vehicles,FOR,2026-06-18
ECR (group),ECR,Circularity requirements for vehicle design and management of end-of-life vehicles,AGAINST,2026-06-18
Renew (group),Renew,Circularity requirements for vehicle design and management of end-of-life vehicles,AGAINST,2026-06-18
Greens/EFA (group),Greens/EFA,Circularity requirements for vehicle design and management of end-of-life vehicles,AGAINST,2026-06-18
The Left (group),The Left,Circularity requirements for vehicle design and management of end-of-life vehicles,AGAINST,2026-06-18
NI (group),NI,Circularity requirements for vehicle design and management of end-of-life vehicles,FOR,2026-06-18
ESN (group),ESN,Circularity requirements for vehicle design and management of end-of-life vehicles,FOR,2026-06-18
EPP (group),EPP,Implementation of the Urban Wastewater Treatment Directive (UWWTD) and risks to the security of supp,FOR,2026-06-18
S&D (group),S&D,Implementation of the Urban Wastewater Treatment Directive (UWWTD) and risks to the security of supp,AGAINST,2026-06-18
Patriots for Europe (group),Patriots for Europe,Implementation of the Urban Wastewater Treatment Directive (UWWTD) and risks to the security of supp,FOR,2026-06-18
ECR (group),ECR,Implementation of the Urban Wastewater Treatment Directive (UWWTD) and risks to the security of supp,FOR,2026-06-18
Renew (group),Renew,Implementation of the Urban Wastewater Treatment Directive (UWWTD) and risks to the security of supp,AGAINST,2026-06-18
Greens/EFA (group),Greens/EFA,Implementation of the Urban Wastewater Treatment Directive (UWWTD) and risks to the security of supp,AGAINST,2026-06-18
The Left (group),The Left,Implementation of the Urban Wastewater Treatment Directive (UWWTD) and risks to the security of supp,AGAINST,2026-06-18
NI (group),NI,Implementation of the Urban Wastewater Treatment Directive (UWWTD) and risks to the security of supp,FOR,2026-06-18
ESN (group),ESN,Implementation of the Urban Wastewater Treatment Directive (UWWTD) and risks to the security of supp,FOR,2026-06-18
EPP (group),EPP,Shipments of waste: export of mixed municipal waste for recovery to Switzerland,FOR,2026-06-18
S&D (group),S&D,Shipments of waste: export of mixed municipal waste for recovery to Switzerland,FOR,2026-06-18
Patriots for Europe (group),Patriots for Europe,Shipments of waste: export of mixed municipal waste for recovery to Switzerland,FOR,2026-06-18
ECR (group),ECR,Shipments of waste: export of mixed municipal waste for recovery to Switzerland,FOR,2026-06-18
Renew (group),Renew,Shipments of waste: export of mixed municipal waste for recovery to Switzerland,FOR,2026-06-18
Greens/EFA (group),Greens/EFA,Shipments of waste: export of mixed municipal waste for recovery to Switzerland,FOR,2026-06-18
The Left (group),The Left,Shipments of waste: export of mixed municipal waste for recovery to Switzerland,FOR,2026-06-18
NI (group),NI,Shipments of waste: export of mixed municipal waste for recovery to Switzerland,FOR,2026-06-18
ESN (group),ESN,Shipments of waste: export of mixed municipal waste for recovery to Switzerland,FOR,2026-06-18
EPP (group),EPP,Political repression and humanitarian situation in Cuba,FOR,2026-06-18
S&D (group),S&D,Political repression and humanitarian situation in Cuba,AGAINST,2026-06-18
Patriots for Europe (group),Patriots for Europe,Political repression and humanitarian situation in Cuba,ABSTAIN,2026-06-18
ECR (group),ECR,Political repression and humanitarian situation in Cuba,FOR,2026-06-18
Renew (group),Renew,Political repression and humanitarian situation in Cuba,FOR,2026-06-18
Greens/EFA (group),Greens/EFA,Political repression and humanitarian situation in Cuba,AGAINST,2026-06-18
The Left (group),The Left,Political repression and humanitarian situation in Cuba,AGAINST,2026-06-18
NI (group),NI,Political repression and humanitarian situation in Cuba,AGAINST,2026-06-18
ESN (group),ESN,Political repression and humanitarian situation in Cuba,ABSTAIN,2026-06-18
EPP (group),EPP,"Russia’s unacceptable provocative actions and drone incursions into Romania, the Baltic states and F",FOR,2026-06-18
S&D (group),S&D,"Russia’s unacceptable provocative actions and drone incursions into Romania, the Baltic states and F",FOR,2026-06-18
Patriots for Europe (group),Patriots for Europe,"Russia’s unacceptable provocative actions and drone incursions into Romania, the Baltic states and F",FOR,2026-06-18
ECR (group),ECR,"Russia’s unacceptable provocative actions and drone incursions into Romania, the Baltic states and F",FOR,2026-06-18
Renew (group),Renew,"Russia’s unacceptable provocative actions and drone incursions into Romania, the Baltic states and F",FOR,2026-06-18
Greens/EFA (group),Greens/EFA,"Russia’s unacceptable provocative actions and drone incursions into Romania, the Baltic states and F",FOR,2026-06-18
The Left (group),The Left,"Russia’s unacceptable provocative actions and drone incursions into Romania, the Baltic states and F",AGAINST,2026-06-18
NI (group),NI,"Russia’s unacceptable provocative actions and drone incursions into Romania, the Baltic states and F",AGAINST,2026-06-18
ESN (group),ESN,"Russia’s unacceptable provocative actions and drone incursions into Romania, the Baltic states and F",AGAINST,2026-06-18
EPP (group),EPP,Continued crackdown on civic space and fundamental freedoms in Burkina Faso,FOR,2026-06-18
S&D (group),S&D,Continued crackdown on civic space and fundamental freedoms in Burkina Faso,FOR,2026-06-18
Patriots for Europe (group),Patriots for Europe,Continued crackdown on civic space and fundamental freedoms in Burkina Faso,FOR,2026-06-18
ECR (group),ECR,Continued crackdown on civic space and fundamental freedoms in Burkina Faso,FOR,2026-06-18
