member_name,political_group,policy_topic,vote,date
EPP (group),EPP,Feasibility of a 28th tax regime and its potential to support EU competitiveness,FOR,2026-07-09
S&D (group),S&D,Feasibility of a 28th tax regime and its potential to support EU competitiveness,FOR,2026-07-09
Patriots for Europe (group),Patriots for Europe,Feasibility of a 28th tax regime and its potential to support EU competitiveness,AGAINST,2026-07-09
ECR (group),ECR,Feasibility of a 28th tax regime and its potential to support EU competitiveness,AGAINST,2026-07-09
Renew (group),Renew,Feasibility of a 28th tax regime and its potential to support EU competitiveness,FOR,2026-07-09
Greens/EFA (group),Greens/EFA,Feasibility of a 28th tax regime and its potential to support EU competitiveness,FOR,2026-07-09
The Left (group),The Left,Feasibility of a 28th tax regime and its potential to support EU competitiveness,AGAINST,2026-07-09
NI (group),NI,Feasibility of a 28th tax regime and its potential to support EU competitiveness,AGAINST,2026-07-09
ESN (group),ESN,Feasibility of a 28th tax regime and its potential to support EU competitiveness,AGAINST,2026-07-09
EPP (group),EPP,Establishment of the digital euro,FOR,2026-07-09
S&D (group),S&D,Establishment of the digital euro,FOR,2026-07-09
Patriots for Europe (group),Patriots for Europe,Establishment of the digital euro,AGAINST,2026-07-09
ECR (group),ECR,Establishment of the digital euro,AGAINST,2026-07-09
Renew (group),Renew,Establishment of the digital euro,FOR,2026-07-09
Greens/EFA (group),Greens/EFA,Establishment of the digital euro,FOR,2026-07-09
The Left (group),The Left,Establishment of the digital euro,FOR,2026-07-09
NI (group),NI,Establishment of the digital euro,AGAINST,2026-07-09
ESN (group),ESN,Establishment of the digital euro,AGAINST,2026-07-09
EPP (group),EPP,"Ongoing persecution of Christians in Nigeria, notably the Kawel village massacre",FOR,2026-07-09
S&D (group),S&D,"Ongoing persecution of Christians in Nigeria, notably the Kawel village massacre",FOR,2026-07-09
Patriots for Europe (group),Patriots for Europe,"Ongoing persecution of Christians in Nigeria, notably the Kawel village massacre",FOR,2026-07-09
ECR (group),ECR,"Ongoing persecution of Christians in Nigeria, notably the Kawel village massacre",FOR,2026-07-09
Renew (group),Renew,"Ongoing persecution of Christians in Nigeria, notably the Kawel village massacre",FOR,2026-07-09
Greens/EFA (group),Greens/EFA,"Ongoing persecution of Christians in Nigeria, notably the Kawel village massacre",ABSTAIN,2026-07-09
The Left (group),The Left,"Ongoing persecution of Christians in Nigeria, notably the Kawel village massacre",ABSTAIN,2026-07-09
NI (group),NI,"Ongoing persecution of Christians in Nigeria, notably the Kawel village massacre",FOR,2026-07-09
ESN (group),ESN,"Ongoing persecution of Christians in Nigeria, notably the Kawel village massacre",FOR,2026-07-09
EPP (group),EPP,"The threat of war crimes, the escalating violations of international humanitarian law and the human ",FOR,2026-07-09
S&D (group),S&D,"The threat of war crimes, the escalating violations of international humanitarian law and the human ",FOR,2026-07-09
Patriots for Europe (group),Patriots for Europe,"The threat of war crimes, the escalating violations of international humanitarian law and the human ",ABSTAIN,2026-07-09
ECR (group),ECR,"The threat of war crimes, the escalating violations of international humanitarian law and the human ",FOR,2026-07-09
Renew (group),Renew,"The threat of war crimes, the escalating violations of international humanitarian law and the human ",FOR,2026-07-09
Greens/EFA (group),Greens/EFA,"The threat of war crimes, the escalating violations of international humanitarian law and the human ",FOR,2026-07-09
The Left (group),The Left,"The threat of war crimes, the escalating violations of international humanitarian law and the human ",FOR,2026-07-09
NI (group),NI,"The threat of war crimes, the escalating violations of international humanitarian law and the human ",FOR,2026-07-09
ESN (group),ESN,"The threat of war crimes, the escalating violations of international humanitarian law and the human ",FOR,2026-07-09
EPP (group),EPP,Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual,AGAINST,2026-07-09
S&D (group),S&D,Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual,AGAINST,2026-07-09
Patriots for Europe (group),Patriots for Europe,Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual,FOR,2026-07-09
ECR (group),ECR,Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual,FOR,2026-07-09
Renew (group),Renew,Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual,FOR,2026-07-09
Greens/EFA (group),Greens/EFA,Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual,FOR,2026-07-09
The Left (group),The Left,Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual,FOR,2026-07-09
NI (group),NI,Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual,FOR,2026-07-09
ESN (group),ESN,Temporary derogation from certain provisions of the ePrivacy Directive to combat online child sexual,FOR,2026-07-09
