member_name,political_group,policy_topic,vote,date
EPP (group),EPP,"Conclusion, on behalf of the European Union, of the Council of Europe Convention on the protection o",FOR,2026-07-08
S&D (group),S&D,"Conclusion, on behalf of the European Union, of the Council of Europe Convention on the protection o",FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,"Conclusion, on behalf of the European Union, of the Council of Europe Convention on the protection o",AGAINST,2026-07-08
ECR (group),ECR,"Conclusion, on behalf of the European Union, of the Council of Europe Convention on the protection o",ABSTAIN,2026-07-08
Renew (group),Renew,"Conclusion, on behalf of the European Union, of the Council of Europe Convention on the protection o",FOR,2026-07-08
Greens/EFA (group),Greens/EFA,"Conclusion, on behalf of the European Union, of the Council of Europe Convention on the protection o",FOR,2026-07-08
The Left (group),The Left,"Conclusion, on behalf of the European Union, of the Council of Europe Convention on the protection o",FOR,2026-07-08
NI (group),NI,"Conclusion, on behalf of the European Union, of the Council of Europe Convention on the protection o",FOR,2026-07-08
ESN (group),ESN,"Conclusion, on behalf of the European Union, of the Council of Europe Convention on the protection o",AGAINST,2026-07-08
EPP (group),EPP,2025 Commission report on Moldova,FOR,2026-07-08
S&D (group),S&D,2025 Commission report on Moldova,FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,2025 Commission report on Moldova,AGAINST,2026-07-08
ECR (group),ECR,2025 Commission report on Moldova,FOR,2026-07-08
Renew (group),Renew,2025 Commission report on Moldova,FOR,2026-07-08
Greens/EFA (group),Greens/EFA,2025 Commission report on Moldova,FOR,2026-07-08
The Left (group),The Left,2025 Commission report on Moldova,ABSTAIN,2026-07-08
NI (group),NI,2025 Commission report on Moldova,AGAINST,2026-07-08
ESN (group),ESN,2025 Commission report on Moldova,AGAINST,2026-07-08
EPP (group),EPP,"Agreement, in the form of an Exchange of Letters, between the European Union and the Kingdom of Moro",FOR,2026-07-08
S&D (group),S&D,"Agreement, in the form of an Exchange of Letters, between the European Union and the Kingdom of Moro",FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,"Agreement, in the form of an Exchange of Letters, between the European Union and the Kingdom of Moro",FOR,2026-07-08
ECR (group),ECR,"Agreement, in the form of an Exchange of Letters, between the European Union and the Kingdom of Moro",FOR,2026-07-08
Renew (group),Renew,"Agreement, in the form of an Exchange of Letters, between the European Union and the Kingdom of Moro",FOR,2026-07-08
Greens/EFA (group),Greens/EFA,"Agreement, in the form of an Exchange of Letters, between the European Union and the Kingdom of Moro",FOR,2026-07-08
The Left (group),The Left,"Agreement, in the form of an Exchange of Letters, between the European Union and the Kingdom of Moro",AGAINST,2026-07-08
NI (group),NI,"Agreement, in the form of an Exchange of Letters, between the European Union and the Kingdom of Moro",FOR,2026-07-08
ESN (group),ESN,"Agreement, in the form of an Exchange of Letters, between the European Union and the Kingdom of Moro",FOR,2026-07-08
EPP (group),EPP,Protocol amending the Euro-Mediterranean Aviation Agreement between the European Community and its M,FOR,2026-07-08
S&D (group),S&D,Protocol amending the Euro-Mediterranean Aviation Agreement between the European Community and its M,FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,Protocol amending the Euro-Mediterranean Aviation Agreement between the European Community and its M,FOR,2026-07-08
ECR (group),ECR,Protocol amending the Euro-Mediterranean Aviation Agreement between the European Community and its M,FOR,2026-07-08
Renew (group),Renew,Protocol amending the Euro-Mediterranean Aviation Agreement between the European Community and its M,FOR,2026-07-08
Greens/EFA (group),Greens/EFA,Protocol amending the Euro-Mediterranean Aviation Agreement between the European Community and its M,FOR,2026-07-08
The Left (group),The Left,Protocol amending the Euro-Mediterranean Aviation Agreement between the European Community and its M,FOR,2026-07-08
NI (group),NI,Protocol amending the Euro-Mediterranean Aviation Agreement between the European Community and its M,FOR,2026-07-08
ESN (group),ESN,Protocol amending the Euro-Mediterranean Aviation Agreement between the European Community and its M,FOR,2026-07-08
EPP (group),EPP,2025 Commission report on Serbia,FOR,2026-07-08
S&D (group),S&D,2025 Commission report on Serbia,FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,2025 Commission report on Serbia,AGAINST,2026-07-08
ECR (group),ECR,2025 Commission report on Serbia,FOR,2026-07-08
Renew (group),Renew,2025 Commission report on Serbia,FOR,2026-07-08
Greens/EFA (group),Greens/EFA,2025 Commission report on Serbia,FOR,2026-07-08
The Left (group),The Left,2025 Commission report on Serbia,ABSTAIN,2026-07-08
NI (group),NI,2025 Commission report on Serbia,AGAINST,2026-07-08
ESN (group),ESN,2025 Commission report on Serbia,AGAINST,2026-07-08
EPP (group),EPP,"Interim report in view of the consent procedure on the Political, Economic and Cooperation Strategic",FOR,2026-07-08
S&D (group),S&D,"Interim report in view of the consent procedure on the Political, Economic and Cooperation Strategic",FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,"Interim report in view of the consent procedure on the Political, Economic and Cooperation Strategic",AGAINST,2026-07-08
ECR (group),ECR,"Interim report in view of the consent procedure on the Political, Economic and Cooperation Strategic",ABSTAIN,2026-07-08
Renew (group),Renew,"Interim report in view of the consent procedure on the Political, Economic and Cooperation Strategic",FOR,2026-07-08
Greens/EFA (group),Greens/EFA,"Interim report in view of the consent procedure on the Political, Economic and Cooperation Strategic",ABSTAIN,2026-07-08
The Left (group),The Left,"Interim report in view of the consent procedure on the Political, Economic and Cooperation Strategic",AGAINST,2026-07-08
NI (group),NI,"Interim report in view of the consent procedure on the Political, Economic and Cooperation Strategic",AGAINST,2026-07-08
ESN (group),ESN,"Interim report in view of the consent procedure on the Political, Economic and Cooperation Strategic",FOR,2026-07-08
EPP (group),EPP,2025 Commission report on Ukraine,FOR,2026-07-08
S&D (group),S&D,2025 Commission report on Ukraine,FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,2025 Commission report on Ukraine,AGAINST,2026-07-08
ECR (group),ECR,2025 Commission report on Ukraine,FOR,2026-07-08
Renew (group),Renew,2025 Commission report on Ukraine,FOR,2026-07-08
Greens/EFA (group),Greens/EFA,2025 Commission report on Ukraine,FOR,2026-07-08
The Left (group),The Left,2025 Commission report on Ukraine,AGAINST,2026-07-08
NI (group),NI,2025 Commission report on Ukraine,AGAINST,2026-07-08
ESN (group),ESN,2025 Commission report on Ukraine,AGAINST,2026-07-08
EPP (group),EPP,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedure to the draft Commission implemen,AGAINST,2026-07-08
S&D (group),S&D,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedure to the draft Commission implemen,FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedure to the draft Commission implemen,FOR,2026-07-08
ECR (group),ECR,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedure to the draft Commission implemen,FOR,2026-07-08
Renew (group),Renew,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedure to the draft Commission implemen,FOR,2026-07-08
Greens/EFA (group),Greens/EFA,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedure to the draft Commission implemen,FOR,2026-07-08
The Left (group),The Left,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedure to the draft Commission implemen,FOR,2026-07-08
NI (group),NI,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedure to the draft Commission implemen,FOR,2026-07-08
ESN (group),ESN,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedure to the draft Commission implemen,FOR,2026-07-08
EPP (group),EPP,Objection pursuant to Rule 115(2) and (3): Genetically modified maize DP202216 x NK603 x DAS-40278-9,AGAINST,2026-07-08
S&D (group),S&D,Objection pursuant to Rule 115(2) and (3): Genetically modified maize DP202216 x NK603 x DAS-40278-9,FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,Objection pursuant to Rule 115(2) and (3): Genetically modified maize DP202216 x NK603 x DAS-40278-9,FOR,2026-07-08
ECR (group),ECR,Objection pursuant to Rule 115(2) and (3): Genetically modified maize DP202216 x NK603 x DAS-40278-9,FOR,2026-07-08
Renew (group),Renew,Objection pursuant to Rule 115(2) and (3): Genetically modified maize DP202216 x NK603 x DAS-40278-9,AGAINST,2026-07-08
Greens/EFA (group),Greens/EFA,Objection pursuant to Rule 115(2) and (3): Genetically modified maize DP202216 x NK603 x DAS-40278-9,FOR,2026-07-08
The Left (group),The Left,Objection pursuant to Rule 115(2) and (3): Genetically modified maize DP202216 x NK603 x DAS-40278-9,FOR,2026-07-08
NI (group),NI,Objection pursuant to Rule 115(2) and (3): Genetically modified maize DP202216 x NK603 x DAS-40278-9,FOR,2026-07-08
ESN (group),ESN,Objection pursuant to Rule 115(2) and (3): Genetically modified maize DP202216 x NK603 x DAS-40278-9,FOR,2026-07-08
EPP (group),EPP,Commission Delegated Regulation amending Commission Delegated Regulation (EU) 2019/807 to introduce ,FOR,2026-07-08
S&D (group),S&D,Commission Delegated Regulation amending Commission Delegated Regulation (EU) 2019/807 to introduce ,AGAINST,2026-07-08
Patriots for Europe (group),Patriots for Europe,Commission Delegated Regulation amending Commission Delegated Regulation (EU) 2019/807 to introduce ,FOR,2026-07-08
ECR (group),ECR,Commission Delegated Regulation amending Commission Delegated Regulation (EU) 2019/807 to introduce ,FOR,2026-07-08
Renew (group),Renew,Commission Delegated Regulation amending Commission Delegated Regulation (EU) 2019/807 to introduce ,AGAINST,2026-07-08
Greens/EFA (group),Greens/EFA,Commission Delegated Regulation amending Commission Delegated Regulation (EU) 2019/807 to introduce ,AGAINST,2026-07-08
The Left (group),The Left,Commission Delegated Regulation amending Commission Delegated Regulation (EU) 2019/807 to introduce ,AGAINST,2026-07-08
NI (group),NI,Commission Delegated Regulation amending Commission Delegated Regulation (EU) 2019/807 to introduce ,FOR,2026-07-08
ESN (group),ESN,Commission Delegated Regulation amending Commission Delegated Regulation (EU) 2019/807 to introduce ,FOR,2026-07-08
EPP (group),EPP,"Objection pursuant to Rule 115(2) and (3), and (4)(c): Lead in certain fishing tackle",AGAINST,2026-07-08
S&D (group),S&D,"Objection pursuant to Rule 115(2) and (3), and (4)(c): Lead in certain fishing tackle",AGAINST,2026-07-08
Patriots for Europe (group),Patriots for Europe,"Objection pursuant to Rule 115(2) and (3), and (4)(c): Lead in certain fishing tackle",FOR,2026-07-08
ECR (group),ECR,"Objection pursuant to Rule 115(2) and (3), and (4)(c): Lead in certain fishing tackle",FOR,2026-07-08
Renew (group),Renew,"Objection pursuant to Rule 115(2) and (3), and (4)(c): Lead in certain fishing tackle",AGAINST,2026-07-08
Greens/EFA (group),Greens/EFA,"Objection pursuant to Rule 115(2) and (3), and (4)(c): Lead in certain fishing tackle",AGAINST,2026-07-08
The Left (group),The Left,"Objection pursuant to Rule 115(2) and (3), and (4)(c): Lead in certain fishing tackle",AGAINST,2026-07-08
NI (group),NI,"Objection pursuant to Rule 115(2) and (3), and (4)(c): Lead in certain fishing tackle",FOR,2026-07-08
ESN (group),ESN,"Objection pursuant to Rule 115(2) and (3), and (4)(c): Lead in certain fishing tackle",FOR,2026-07-08
EPP (group),EPP,EU–Mexico Interim Agreement on Trade,FOR,2026-07-08
S&D (group),S&D,EU–Mexico Interim Agreement on Trade,FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,EU–Mexico Interim Agreement on Trade,ABSTAIN,2026-07-08
